stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,192.59,1676.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.02,0,0,0,0,0,0,0,0,0,0
  5-6,162.71,2894.06,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.26,47.55,0,0,54.8,0,31.58,0,0,0,0,0,0,0,0,0,0
  7-9,28.93,43.58,0,47.75,0,0,66.41,0,0,0,0,0,27.61,0,0,0,0,0,0,0,0,0,0,1074.51,80.13,0,0,231.57,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.37,0,84.55,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816.57,19.73,0,0,224.27,0,0,0,24.66,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,12.58,3.6,5.81,0,0,0,3.1,0,0,0,0,0,0,0,0,3.93,0,0,6.19,149.22,2.01,0,1.07,2.54,0,0,9.69,1.76,1.08,6.24,35.04,0,0,4.94,0,0
 24-34,0,0,0,0,3.63,0,13.4,0,0.75,0.89,2.87,0,0.74,0,0,0.77,0,0,0,12.88,0,0,6.76,187.47,0,2.13,2.74,0,0,1.37,0,0,0,1.34,38.28,0,0,0.97,0,0
 36-46,0,0,0,0,1.08,0,14.86,0,5.92,0,5.53,0,0,0,0,0,7.65,0,0,10.41,0,0.67,3.76,121.62,0,0,0,0,0,1.12,0,0,0,0,28.61,0,0,1.87,0,0.7
 48-58,0,0,0.46,0,0,3.17,36.81,0,0.49,1.67,9.63,0,0,0,0,0.38,0,0.39,0,8.33,0,0.73,5.93,77.19,0,0,0,0,0,0,0,1.57,0,0,25.09,0,0,0.51,0,0
 60-70,0,0,0,0,6.56,0,14.88,4.8,0,0,4.67,0.96,0,0,0,0,8.1,0,7.9,6.77,0,0,1.75,75.1,0,0,0,0,0,0,0,0,1.39,0,3.75,0.84,0,0,0,0
 72-82,0,0,0,0,1.55,0,14.17,0,0,0,10.02,0,0,0,0,0,0,2.05,0,19.73,0,0,0,39.97,0,0,0,0,0,0.59,0,0,0,0,3.94,0.68,0.5,0.79,0.84,0
 84-94,0,0,0,0,0,0,7.14,0,0.63,0.81,0.91,0,0,0.79,0,2.06,0,0.84,0,16.27,0.78,0,0,9.26,1.31,1.86,0.71,0,0,3,0,0,0,0,13.71,0.86,0,0.77,0,0
 96-106,0,0,0,0,0.71,0,6.77,0,0,1.62,7.2,0,0,0.88,1.76,0.78,0,0.84,1.36,9.64,0,1.14,1.13,15.68,0.62,1.17,0,0,0,0,0,0,0,0,3.84,0,0,1.48,0,0
108-118,0,0,0,0,0.62,0,14.05,0,0,0,4.35,0,0,0,0,0,0,0,0.7,14.96,0,0,0.76,24.74,0,0.55,0,0,0.76,0.68,0,0,0,0,0,0.66,0,1.74,0,0
120,0,0,0,0,5.96,4.98,8.06,0,0,0,13.82,0,0,0,0,0,0,0,6.57,73.63,0,0,0,40.9,0,0,0,0,0,1.28,0,0,0,0,0,0,0,4.02,0,0
