stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,21.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,5.65,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.73,0,0,0,3.49,0,0,0,0,0
 14-21,0,30.38,0,0,2.62,0,1.13,4.61,0,0,0,0,3.86,0,1.71,41.64,0,0,2.85,7.53,8.77,16.64,0,0,0
 24-34,0,24.34,0,0,2.45,0,3.58,1.75,0,0,0,11.55,0.75,0,0.73,35.7,0,0,0,0,0,10.36,0,0,0
 36-46,0,1.13,0,0,2.09,0,0,1.28,0,0,0,18.91,0,0,0,4,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,4.19,0,0,7.42,0,0,0,12.57,0.5,0,0,0.4,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,114.43,0,0,1.04,0,0,0,16.63,0,0,0,5.21,0,0,0,0,0,0,0,0,0
 72-82,0,1.41,0,0,272.85,0,0,1.3,0,0,1.05,37.01,4.14,0,0,10.58,0,4.76,0,0,0,0,0,1.42,0
 84-94,0,2.92,2.39,0.65,349.41,0,0,6.76,0,0,0.67,99.52,3.24,0,0,8.29,0,0,0,0.8,0,0,0,0,0
 96-106,0,6.21,1.58,0,349.64,0,6.65,3.57,0,2.25,1.34,113.31,5.11,3.22,0,13.31,3.48,2.12,0,0,0,0,0,0.69,0
108-118,0,4.16,3.02,0,337.74,0,2.47,0,0,0,0,172.02,5.09,0,0.47,18.88,0,0,0,0,0,0,0.68,0,3.75
120,0,0,1.03,0,264,6.39,15.08,0,0,0,0,147.41,0,0,0,10.56,0,2.05,0,0,0,0,0,0,0
