stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.98,0,0,9.91,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.75,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,1.37,15,0,0,0,0,0,0,94.3,2.36,5.74,0,0,0
 24-34,0,1.3,0,0.64,5.91,1.05,0,0,0,0,0,0,0,0,0,1.02,74.03,1.33,0,0,0,0,0,51.29,2.32,7.92,0,0,0
 36-46,0,0.57,0,5.11,18.5,5.47,0,2.19,0,0,0,0,0,1.64,0,9.08,113.55,0,0.61,0,0,6.31,0,53.64,0,34.8,0.89,0,0
 48-58,0,0,0,21.1,9.39,9.75,0,0,0,0,0,0,0,6.96,0.46,3.02,76.91,0,1.81,0,0.56,0,0,17.81,0,11.64,0.47,0,0
 60-70,0,0,0,24.2,23.62,0.79,0,0,0,0,0,0,0,3.34,0,5.99,74.59,0,0.69,0,0,0,0,23.13,0,11.26,0,0,0
 72-82,0,3.98,0,16.66,8.82,2.4,3.97,0,0,0,0,0,0,17.4,0,8.25,68.18,0,0,0,0,0,0,13.08,0,4.25,2.51,0,0
 84-94,0,0.74,0,18.67,8.81,0,3.56,0,0,1.17,0,7.69,5.92,0.75,0,11.85,34.28,0,0,0,0,0,0,17.18,0,1.3,0,0,0
 96-106,0.72,0.92,2.66,20.32,16.45,6.56,6.48,0,0,1.63,1.23,0,0,1.83,0,1.09,28.3,1.62,0,0,0,0,0,18.1,0,0,0,1.24,1.41
108-118,0,2.41,0,3.76,12.13,4.48,5.88,0,0.8,0,1.27,0,0,2.25,0,5.28,30.42,0,1.76,0,0,5.92,0,22.5,0,0,0,0,0
120,0,0,0,23.36,10.16,6.33,17.08,0,0,0,0,0,0,0,0,3.39,49.6,0,0,0,0,0,1.12,4.54,0,0,0,0,0
