stage,blastomeres,epidermis,eye,glial,hatching_gland,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord
  5-6,28.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,12.25,0,0,0,0,0
 10-12,0,0,3.23,0,0,0,0,0,0,0,8.92,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0
 24-34,0,3.12,0,0,0,0,0,0,0,0,2.39,5.6,1.35,0,0,0
 36-46,0,0,0,0,2.19,4.73,0,0.67,1.19,0,4.42,7.81,2.83,0,0,4.74
 48-58,0,0,0,0,0,0,0,0.4,0,0.75,2.33,4.28,4.15,0,0,7.24
 60-70,0,0,0,0,6.99,0,0,0,0,0.75,1.09,1.82,0.95,0,0,3.11
 72-82,0,0,0,0,1.14,0,0,1.72,0.79,1.31,12.27,15.39,13.58,0,0,0
 84-94,0,0.68,0,0,2.01,0,1,0,0,0,1.27,12.67,9.24,0,0,0
 96-106,0,0,0,0,0,0,0,3.69,6.58,0,1.76,10.57,20.94,0,0,0
108-118,0,8.22,0,1.4,0,0,0,2.34,1.44,0,8.8,15.34,15.14,2.07,0,0
120,0,0,0,0,0,0,0,2.84,0,0,0,3.36,39.76,0,0,0
