stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.84,20.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.65,0,0,0,0,0,0,0,0,0,0,10.12,0,0,0,0,0,0,0,0,0,0,0,95.63,11.24,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.12,0,0,6.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.07,12.33,0,0,50.94,0,0,0,0,8.36,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.18,37.34,26.1,6.29,0.95,0,6.74,2.1,0,0,0,0,0,0,0,0,4.93,0,0,2.28,299.19,4.41,1.95,4.29,0,0,4.88,0,2.13,0.88,0,1.08,115.11,0,0,8.09,0,0
 24-34,0,0,2.03,0.59,9.28,0.89,21.27,4.25,0,14.77,0,0,1.45,2.43,0,0,0.63,1.34,0,11.95,0.74,0,5.76,1183.99,1.23,17.32,4,0,0,1.69,0,0,2.36,0,0,257.93,0,0,36.57,0,0
 36-46,0,0,0,0,3.98,0,118.7,3.85,0,39.39,1.12,0,0,0.77,0,0.61,1.36,16.29,0,16.48,0,0.56,5.39,2269.67,0.62,16.83,0.84,0,0,5.38,0.81,0,4.92,0,0,415.27,0,1.04,31.94,0,0
 48-58,0,0,0.46,0,11.58,0,338.79,2.01,0.65,129.04,0,0,0.66,1.56,0,2.21,1.69,0.39,6.58,31.92,0,1.13,2.24,2445.72,1.94,9.34,1.68,0,0,2.86,0,0,0,7.15,0,459.16,0,0,31.9,0,15.31
 60-70,0,0,0,0,5.41,0,587.27,5.58,0,138.05,3.19,0,0,0.98,3.12,5.19,0,0,0,32.06,2.49,13.52,3.28,2383.61,0,4.71,0,0,1.13,4.91,0,0,1.17,2.66,0,316.14,0.61,0.61,25.16,0.64,0
 72-82,0,0,3.15,0,8.54,1.76,393.09,0,3.99,91.6,2.87,0,0,8.98,0,3.61,0.79,0.79,0.85,44.41,0,2.64,3,1465.76,0,3.7,5.18,0,0,4.29,0,0,2.27,0,0,148.12,2.72,3.07,16.5,2.85,0
 84-94,0,0,0.84,0,18.5,5.24,329.41,0,0,55.67,8.74,0,2.69,7.13,0,13.32,0,0,0,20.08,0,4.04,2.69,1089.01,0,8.03,2.88,0,0,11.02,0,0,3.4,0,0,89.86,5.49,0.75,24.49,8.68,2.04
 96-106,0,0,2.18,0,11.14,5.45,267.07,0.62,0,47.74,18.94,0,0,3.75,0.59,9.51,0.92,0,0,29.85,0,0.59,0,809.31,0,14.7,1.53,0,0,3.54,0,0,0.79,0,0,36.78,8.75,0,21.92,0.76,0
108-118,0,0,2.33,0,16.48,0,229.41,2.58,7.03,51.83,11.22,0,0.69,6.88,1.37,28.02,0.8,0,0,33.95,0,1.47,0,913.04,0,2.9,4.79,0,0,7.04,0,0,3.05,0,0,28.99,17.37,2.82,20.74,2.82,0
120,0,0,0,0,29.44,0,185.49,0,0,106.45,34.47,0,0,21.09,0,29.43,0,9.22,0,15.66,0,0,4.92,1036.47,0,1.54,7.31,0,2.76,0,0,0,1.47,0,0,8.83,5.09,0,47,0,0
