stage,axial,blastomeres,eye,fin_mesenchyme,glial,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord
  5-6,0,17.27,0,0,0,0,0,6.07,0,0,0,0,0
  7-9,27.5,0,0,0,0,0,43.87,52.67,0,197.52,0,0,0
 10-12,0,5.81,0,0,0,0,13.91,32.78,0,133.07,0,7.02,0
 14-21,0,0,0,0,1.09,0,0,0,0,0,5.1,0,3.58
 24-34,0,0,0,0.99,0,0,1.89,1.54,1.77,0,0,0.64,3.64
 36-46,0,0,0,0,1.84,0,2.61,1.29,0,0,0,0,5.02
 48-58,0,0,4.89,0,0.75,0,5.82,0,0.5,0,0,2.74,3.9
 60-70,0,0,0,0,1.71,2.9,0,0,1.02,0,0,0,2.2
 72-82,0,0,3.32,0,1.13,0.59,4.41,0,0,0,0,0,2.29
 84-94,0,0,6.58,0,0.84,0,0,0,2.75,0,0,0,2.1
 96-106,0,0,5.27,0,0,0,2.35,0,0,0,0,0,0.98
108-118,0,0,3.01,0,0,0,8.57,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.57,0,0,0,0
