stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vasculature,xanthophores
  3-4,21.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.9,0,0,0
  5-6,22.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.23,0,0,0
  7-9,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,10.16,0,0,0,0,0,0,0,0,0
 10-12,3.64,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,18.37,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51,0,3.47,0,0,0,0,2.02,0,0
 24-34,0,0,0.63,1.18,0.63,0,0,0,0,0,0,0,0,0,0.74,0,0,0,21.22,0,23.64,0,0,0,0,11.02,0,0
 36-46,0,0,0,0,51.89,0,0,0,0.65,0,0,0,0,0,1.34,0,0,0,25.58,0,27.39,0,0,0,0.69,82.32,0,0
 48-58,0,0,0,0,287.41,0,0,4.91,0,0,0,6.38,0,0,1.93,0,0,0,131.26,0,32.24,0,0,0,3.03,241.75,0,0
 60-70,0,0,3.99,0,341.32,0.84,0.68,11.18,0,0,0,1.2,0,4.39,13.54,0,0,0,205.8,0,11.17,0,0,0,4.9,385.41,0,0
 72-82,0,0,5.24,0.69,209.78,0,0,17.07,0,0,0,0,0,0,8.34,0,0,0,188.04,0,37.13,0,0,1.4,1.53,317.94,0,10.04
 84-94,0,1.15,1.22,0,207.72,0,0,18.88,0,1.07,8.67,0,0,0,17.97,0,0,0,211.04,1.11,34.87,0.72,0,0,0,256.06,6.47,0
 96-106,0,1.15,3.11,10.71,115.28,0,0,14.05,0,0,0,0,3.48,0,3.19,0,0.62,0.64,155.44,0.97,37.77,1.7,0,0,8.41,165.71,0,0
108-118,0,0,1.76,0,120.22,0,0,18.68,0,0,0,0,0.87,0,3.1,1.84,0,0,237.25,0,24.97,5.07,0,0,0.49,158.21,0,0.49
120,0,0,11.28,0,240.83,0,0,10.23,0,0,0,0,3.54,0,9.88,0,0,0,268.99,0,31.42,3.98,0,0,1.38,149.75,0,0
