stage,axial,blastomeres,endoderm,eye,fin_mesenchyme,glial,hatching_gland,lateral_line,mesenchyme,neural,notochord,paraxial_mesoderm,somites,spinal_cord,xanthophores
  3-4,0,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.89,86.71,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,12.59,0,0,0,0,0,21.25,0,24.62,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1.12,0,0,0,0,0,3.82,0,0,0.98,2.23,0
 24-34,0,0,0,0,0,0,0,0,0.67,4.95,0,0,0,1.8,0
 36-46,0,0,0,0.71,0,0,0,0,0,3.47,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.39,2.95,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.7,4.58,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,3.02
 84-94,0,0,0,0.69,0,0,0.64,0,1.92,2.56,0,0,0,0,0
 96-106,0,0,0,15.28,0,0,0,0,0.91,1.14,0,0,0,0,0
108-118,0,0,0.74,1.89,0.52,1.5,0,5.32,1.52,1.82,0,0,0,0,0
