stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,83.46,1988.9,0,0,0,0,0,0,0,0,0,0
  5-6,20.69,1123.26,0,0,0,0,0,14.46,0,0,0,0
  7-9,0,0,0,0,6.96,0,0,83.09,18.45,0,0,0
 10-12,0,0,0,0,0,0,0,3.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.17,0
 24-34,0,0,0,0,0,0,2.06,6.7,0,1.25,0,0.65
 36-46,0,0,0,0,0,0,4.64,31.48,0,12.71,0,5.06
 48-58,0,0,0,0,0,0,1.6,18.51,0,2.7,0,7.18
 60-70,0,0,3.71,0,4.56,9.93,1.36,27.06,0,0.85,0,2.45
 72-82,0,0,0,3.1,8.77,0,0,16.97,0,2.3,0,0
 84-94,0,0,0.64,0,2.69,0,0.99,1.99,0,1.3,0,2.26
 96-106,0,0,0.81,0,2.84,0,2.53,5.03,0,0,0,0
108-118,0,0,0,0,5.07,0,2.22,13.37,0,3.76,0,0
120,0,0,1.24,0,0,2.94,0,24.09,0,0,0,0
