stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,glial,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,9.59,62.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.29,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0
  7-9,0,0,0,0,5.65,0,0,0,0,0,9.05,0,0,0,6.59,0,0,0
 10-12,0,13.23,0,0,12.2,0,0,0,0,0,3.11,10.13,0,0,6.87,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5.54,0,0,0,0,0,0.82,5.28
 24-34,0,0,0.97,0.73,0,0,0,0,0,0,10.41,0,0.97,0,0,1.02,0,2.65
 36-46,0,0,0,0,0.98,0.68,0,0,0,1.03,8.55,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.38,0,0,0.4,0.95,0.56,10.4,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0.62,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0.97,0,0,8.58,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.48,0,0,2.18,0,0,0,0
108-118,0,0,0,0,0,0,0.68,4.24,0,0,3.08,0,0,1.46,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,0,0,0
