stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,gut,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,0,34.4,0,0,0,0,0,0,0,11.6,0
  5-6,0,91,0,0,0,0,0,0,0,0,0
  7-9,7.32,0,0,0,0,0,0,17.93,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.87,0,0
 24-34,0,0,0,0,0,0,4.72,0.87,0,0,0
 36-46,0,0,0,0,0.56,0,0.78,0,0,0,1.06
 48-58,0,0,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,3.27,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.46,0,0,1.38,0,0,0
 96-106,0,0,1.54,0.6,0,0,0,0,0,0,0
108-118,0,0,3,0.96,0,1.42,0,0,0,0,0
120,0,0,5.89,0,0,0,0,0,0,1.16,0
