stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.74,418.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0,0
  5-6,7.63,255.55,0,12.33,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.61,0,0,0,0,0,5.15,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.08,0,0,0,17.07,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.9,0,2.71,0,0,0,0,0,0,0,0,0,0,0,7.75,0,0,7.83,0.99,0,0,0,1.67,0,4.59,0,0.87,0,3.22,0,0,0
 24-34,0,0,0,0.84,0,0,1.79,0,0,0,0,0,0.77,0,0.81,0,0.77,0,3.82,0,2.63,25.54,0.82,0,1.39,0,2.71,0,0,1.6,0,3.59,2.92,0.6,0,0
 36-46,0,0,0,0,0,0,13.33,0,0,0.59,0,0,0,0,0,0,0,0,0.81,0,1.39,20.2,0,0,0,0,2.16,0,0,0,1.04,0,6.5,1.33,0,0
 48-58,0,0,0.54,0,0.74,0,6.96,0,0.98,0,0,0,0,0,0,0,0,0.53,8.59,0,0.46,9.85,4.97,0.94,0,0,0,0,0,0,0,0,2.7,0.79,0,0.42
 60-70,0,0,0.86,0,14.2,0,9.33,0.87,0,7.92,0,2.38,1.09,0.65,0,0,0,0,4.74,0,0,18.41,0,0,0,0,3.14,0,0,0,0,0,1.44,0,0,0
 72-82,0,0,0,0,0.64,3.56,20.77,0,0,8.07,0,0.59,0,0.53,0,0.83,0.54,0,8.79,0.83,0,11.81,0,0,0.57,0,1.18,0,0,0,0,0,0,0,1.39,0
 84-94,0,0,0.94,0,2.66,0.68,20.38,0,0,2.19,0.8,0.76,0,0,1.44,0.96,1.55,0,11.92,0,0,6.79,0,0,1.5,0,1.72,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,6.38,8.55,19.53,0.71,0,4.36,0,0,0.88,3.1,0.92,0,2.22,0,6.89,2.03,2.63,10.63,0,0,0.98,0,1.52,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,6.13,1.55,25.16,4.37,0,5.27,0.67,0,0,1.29,0.47,0,0,0,22.12,0,0.45,29.44,0,0.95,0,0,0.47,0,0,0,0,0,0,1.68,0,0
120,0,0,0,0,2.86,0,35.01,0,0,24.01,0,0,0,0,0,0,0,0,29.27,0,0,25.27,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0
