stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,157.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0
  5-6,11.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,11.21,0,0,13.79,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,16.96,0,0,0,3.07,0,0
 14-21,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,1.3
 24-34,0,0.85,0,7.2,0,0,0,0,0,0,0,2.65,0,6.06,0,0,0,0,0,0
 36-46,0,0,0,16.19,0,0,0,0,0,0,0,2.43,0.8,11.49,0.66,0,0,0,0.78,1.55
 48-58,0,0,0,103.76,0,1.13,0,0,0,0,0,2.17,0.45,7.32,0,0,0,0,0,1.31
 60-70,0,0,0,444.84,0,0,0,0,0.65,0,1.06,0,0,16.74,0,0,0,0,0,9.16
 72-82,0,0,2.7,480.89,0,1.1,2.24,0,0,0,0,0,0,16.47,0,1.42,0,0,0,9.46
 84-94,0,0,0,398.6,0,0,2.89,0,0,0,0,1.06,0,39.87,0,0.61,0,0,0,7.09
 96-106,0,0,0,360.55,0,0,2.98,0,0,0.66,0,4.44,0,21.13,0,0,0,0.82,0,7.44
108-118,0,0,1.16,263.68,0,0,13.77,0.48,0,0.63,2.34,1.46,1.45,18.78,0.6,0,0,0,0,0
120,0,2.89,0,274.77,1.58,3.18,6.79,1.68,0,0,0,19.22,0,21.05,0,0,0,0,0,10.24
