stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pgc,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.87,1.06,0.86,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0.97,0.91,4.27,0,0
 24-34,0,1.89,0,0.6,0,0,0,0,0,0,0,0,0,1.3,0.63,51.99,0,0.6,0,0,0,5.16,0,0
 36-46,0,0.59,0,3.1,0,0,0,0,0,0.65,0,0,0,0.6,0.64,98.12,0,0,0,0,0,12.8,4.58,0
 48-58,0,0,0,6.92,0,0.45,10.2,0,6.2,0,0,0,0,0.71,0,56.4,0,0,0,0,0,14.12,0,0
 60-70,0,0,0,3.64,0,0,1.87,0,9.53,0,0,0,0.87,0.88,0,77.4,0,0,1.63,2.22,0,36.42,0,0
 72-82,0,0,0,8.02,0,0,1.88,0,1.16,0,0,0,0,3.31,1.29,62.3,0,0.93,0.53,0,0,6.21,0,0.59
 84-94,0,0,0,18.76,0,0,5.22,0,0,0,0.59,0.58,0,3.86,0,32.47,1.31,0,0,0,0,11.62,0,0
 96-106,0,0,0,4.67,0,0,2.55,0,0,0,0,0,0,4.31,0.88,35.43,0,0,1.9,0,0,11.73,0,0.75
108-118,0,1.74,0,0.6,0.51,0,2.57,0.87,0,0,0,0,0,13.42,0,52.39,0,0,2.54,0.52,0,3.67,0,0
120,0,1.18,0,2.26,0,0,0,0,0,0,0,0,0,4.88,0,105.68,0,0,3.98,3.56,0,0,0,0
