stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,94.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,52.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.12,0,0,3.64,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.76,0,0,4.27,0,0,0,0,0,0
 14-21,0,1.67,2.58,0,0,0,0,0,0,0,0,0,0,0,3.12,0,2.04,6.39,0,0,0,0,1.67,8.95,0,0,0
 24-34,0,0.93,0,0.69,0,0,0,0,0,0,0,0,0,0,5.7,0,0,39.16,1.41,0,0,0,3.19,20.47,0,0,0
 36-46,0,0.57,0,2.4,0,0,0.71,0,0.6,0,0,0,0,0,0,0,0,70.96,0,10.07,0,0,0,21.93,0,1.37,0
 48-58,0,6.85,0,11.81,0,0,9.95,0,0,0,0,0,0,0,10.79,0,0.5,97.97,1.5,1.08,0,0,3.59,31.43,0,0.47,8.09
 60-70,0,16.77,0,16.66,0,0,16.61,0,0,0,0,0,0,0,4.45,0,0,121.31,0,0,0,0,7.51,23.64,0.73,0,0
 72-82,0,0,0,27.39,0,0,3.72,0.51,1.5,0,0,0,0,1.89,21.76,0,4.31,71.73,0.82,0.9,0,0,0,5.1,0,0.59,0
 84-94,0,0,0,7.15,1.11,0,8.06,0,0,1.74,0,0,0,0,12.16,0,3.52,20.21,0,0,0,0,5.55,0,1.64,0,0
 96-106,0,1.24,0,5.97,1.35,3.35,0.94,2.34,1.03,0,1.26,1.5,0.97,0,14.46,0,5.51,40.03,0,0,0,3,1.28,2.33,1.64,0,0
108-118,0,1.97,0,7.95,0,2.2,3.39,3.83,0,3.19,2.03,0,0,3.54,11.81,5.53,0,45.35,0,0,0,1.23,4.45,0,0.88,2.24,0
120,0,0,0,21.26,0,0,16.66,1.94,0,0,0,0,0,0,14.8,0,0,57.58,0,1.26,0,0,0,15.18,0,2.93,0
