stage,blastomeres,epidermis,eye,glial,gut,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature
  5-6,13.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,15.12,0,0,0,0,0
 14-21,0,1.11,0,0,0,0,0,1.14,0,0,1.16,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.84,0,0,1.43,0,2.19,0,0,0.93
 36-46,0,0,0,0.73,0,0,0,2.06,0,0,0,0,0,0,0.59,0
 48-58,0,0,2.35,0,0,5.42,0,1.33,2.01,1.07,3.6,0,1.39,0,0,0
 60-70,0,0,0,0.9,0,27.68,0,1.55,0,0.68,8.79,0.6,0,0,0,0
 72-82,0,0.52,0.55,1.45,0,18.92,0.84,1.64,0.6,0.92,16.22,0,0,0,0,0
 84-94,0,0,4.29,0,0,27.41,0,0,0,0,20.04,0,0,0.67,0,1.04
 96-106,0,0.94,2.61,0,0,48.73,0,3.55,3.73,1.37,42.08,0,0,0,0,3.52
108-118,0,1.69,0.9,3.54,1.09,73.93,0.48,0,7.49,0.63,18.64,0.88,0,2.15,0,0
120,0,19.5,1.29,1.96,0,146.98,0,3.95,7.08,4.27,61.19,0,0,0,0,1.41
