stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,232.72,7955.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452.97,0,0,0,0,0,0,0,0,0,0,0
  5-6,143.12,2015.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.88,0,0,0,0,0,52.67,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.68,7.47,9.07,0,0,0,39.42,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,186.21,0,0,0,62.93,0,6.57,20.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.21,0,0,0,0,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.95,10.94,0,0,72.26,0,6.67,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.23,18.62,2.09,0,4.7,0,0,7.88,0,0,0,0,0.99,0,0,0,1.82,0,0,2.3,58.43,0,0,0.82,0,0,0,0,4.54,0.82,0,1.88,25.79,0,0,0,0,0
 24-34,0,0,3.74,15.9,0,0,18.98,1.74,0.72,0.81,0,0,3.12,3.53,0,0,0,0,9.87,0,0,2.99,113.74,0,0,2.18,0,0,8.22,0,0,1.3,0,0,36.76,0,0,1.59,0,0
 36-46,0,0,0,5.48,0,0,3.01,0,0,0,0.66,0,0,12.38,0,0,0,0.94,3.77,0,0,1.59,57.9,0,0.62,1.55,0,0,3.67,0,0,8.39,0,0,21.77,0,0,3.2,0,0
 48-58,0,0,0,16.57,0,0,12.2,2.68,0,10.22,0,0,0,12,0.37,0,0,2.65,1.19,0,0,0.38,32.35,0,0,0.43,0,0,3.37,0,0,2.86,0,0,22.78,0,0,1.12,0,0
 60-70,0,0,0,4.7,0,0,75.84,0.79,0,14.77,0,0,0.76,23.36,0,12.03,0,0,3.84,0,0,3.4,78.43,0,0,0,0,0,0,0,0,0,0.64,0,5.52,0,0.57,2.69,0,0
 72-82,0,0,0,1.6,0,0,87.03,0,0,6.31,2.65,0,0,42.44,0,3.28,0.49,0,8.02,0,0,0,36.24,0,0,1.01,0,0,0,0,0,0,0,0,7.65,0.62,0,0,0.51,3.01
 84-94,0,0,0,8.6,0,0,90.16,2.93,0,2.7,3,0,0,58.29,0,0,3.96,4.25,12.79,0.57,1.3,0.84,31.69,0.6,0,4.18,0,0,1.41,0,0,2.67,0,0,8.24,0.74,0,1.21,0,0
 96-106,0,0,0,4.85,4.85,0,180.05,1.79,0,4.68,2.25,0,0,97.15,0,0,0,0,10.84,6.25,0,0,16.88,0.79,0.59,2.89,0,1.11,15.09,0,0,3.32,0,0,3.19,0,0,2.17,0,0
108-118,0,0,0,4.75,2.55,6.8,133.63,0.94,0.9,7.06,3.85,0,0,85.13,1.49,1.08,0.52,1.39,4.79,2.81,1.86,0.86,50.74,0.8,0,5.73,0,3.53,5.74,0,0,3.46,0,0,0,0,0,0.59,0,0
120,0,0,0,12.33,3.21,0,274,0,0,0,5.75,0,0,97.28,1.48,3.91,0,0,4.55,0,0,4.8,40.5,0,0,2.96,0,0,0,0,0,1.83,0,0,2.1,0,0,5.76,0,0
