stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.1,107.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0
  5-6,6.79,56.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,8.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.91,0,0,0,1.1,0,0,0,0,0,0,0,0,9.3,0,0,0,0,1.87,13.97,0,0,0,0
 24-34,0,0,1.71,0,2.88,0,0,0,4.21,0,0,0.6,0,0,0,0,2.72,56.49,0,0,0,0,0,17.6,0,0,0,1.76
 36-46,0,0,0,0,9.13,0,0,0,0,0,0,0,0.94,0,6.46,0,2.01,65.93,0,0,0,0,0,29.32,0,1.01,0,0
 48-58,0,0,0,0,38.11,0,0.61,0.45,3.6,0,0,0,0,0,3.99,0,0,99.55,0.37,0,0,0,0,9.98,0,1.74,0,4.31
 60-70,0,0,0,0,307.06,0.68,0,8.58,12.74,0,0,0,0.98,0.66,3.95,0,0,156.29,0,0,0,0,0,15.3,0.99,1.97,0,1.66
 72-82,0,0,0,2.33,487.45,0,0,0,23.47,0,0,0.91,2.09,0,12.28,0,0,214.81,1.64,0.49,0,0,0,19.89,0,3.97,0.91,7.71
 84-94,0,0,5.83,0,295.31,3.76,0.9,0.59,23.23,1.01,0,0,1.37,3.07,9.09,0,0.75,122.63,0,0,0,0,0,19.63,0,2.61,0,6.39
 96-106,0,0,4.93,0,300.56,0,2.46,0,36.47,0,0,2.61,5.4,0,9.39,0,1.2,107.48,0,1,2.3,0,0,15.07,0.66,8.74,0.95,14.49
108-118,0,0,6.78,0.41,256.55,0.54,0,0,30.86,0,0,0.69,6.22,1.56,12.7,1.09,0,160.53,0,0.89,0.44,0.43,0,0.95,0,14.85,2.56,1.19
120,0,0,2.81,0,201.24,8.75,0,15.29,28.96,0,0,1.17,12.79,1.05,15.18,0,1.86,171.05,0,5.9,1.81,0,0,14.79,2.12,1.62,0,0
