stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord
  3-4,97.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.32,0,0,5.36,0,0,0,4.94,0,0,0,0,0,0,18.4,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.91,0,0,3.12,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0
 24-34,0,0,0,1.81,0.84,4.7,0,0,0,0,0,0,0,0,2.01,0,14.79,0,1.61,0,7.69,0.71
 36-46,0,0,0,0,0,0.68,1.46,0,0,0,0,0,0,16.61,0,0,20.89,0,0,0,2.15,1.57
 48-58,0,0,0,0,4.04,0.73,0,4.96,0,0,0,0,4.96,0,5.09,9.02,31.73,0,0,0,0,1.53
 60-70,0,0,0,6.2,0,12.36,0.97,0.67,0,0,2.11,0,0,0,11.75,0,35.15,0,0,0,2.13,0
 72-82,0,0,0,0,0,9.77,0,0,1.97,0,0,0.59,0,0,7.64,0,17.15,0,0,0,0,0
 84-94,0,0.73,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,2.98
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.9,0,1.24,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.57,0,0,0,0,0
