stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.32,97.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,17.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.08,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.16,0,0,0,14.44,0,0,5.47,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.85,5.45,0,4.41,0,0,0,0,1.05,0,0,0,0,0,0,0,0,3.51,0,0,1.1,33.04,0.83,0,2.32,0,0,3.08,0,2.73,0,1.11,3.99,20.7,0,0,0,0,0
 24-34,0,0,0,7.63,1.27,0,10.45,0,0,0,3.73,0,0,1.93,0,0.98,0,0.71,0,0.69,29.66,0,0,7.43,290.32,1.22,9.75,5.07,0,0,17.15,0,0,3.03,1.1,2.12,48.94,0,0,7.34,0,1.43
 36-46,0,0,0,1.05,1.98,0,41.35,1.75,0,2.22,7.2,0,0,0,0.89,0,0.57,0,0,0.61,29.45,0,1.26,9.18,453.59,2.6,8.05,0,0,0,31.04,0,0,0,2.28,0,75.18,0,0,1.75,0,0
 48-58,0,0,0,5.6,1.12,0,83.93,0.67,1.53,0.91,22.83,0.39,3.47,0.81,0,0.61,0,1.76,0,0.97,23.3,0.86,0.99,3.53,450.55,0,2.18,0.74,0,0.4,14.9,0,0,0,0,0,90.64,0,0.51,4.35,0,2.09
 60-70,2.52,0,0,9.5,0.78,0,186.84,1.9,2.97,1.74,41.09,0,0,0,0,0,0,1.57,0,0,56.64,0,0,0.59,475.42,8.04,7.43,2.01,0,0,28.05,0,0,0,0,0,81.05,0,0,6.95,0,10.77
 72-82,0,0,3.4,5.33,19.23,0,241.81,0,1.88,4.48,44.47,0.62,0,0,6.1,0.63,0,2.2,0,0,82.92,1.79,1.3,6.24,500.05,0,2.9,6.79,0,0,25.45,0,0,0,2.68,0,54.88,0.87,0.99,20.83,0.93,3.38
 84-94,0,0,1.01,14.53,28.34,0,144.7,0,0,2.01,27.2,0.9,0.76,2.31,2.32,0.64,0,3.64,0,8.59,49.63,0,0,2.68,389.96,5.77,0,2.64,0,0.6,27.76,0,0,1.61,0,0,57.82,1.01,0,12.88,0,2.38
 96-106,2.68,0,0.63,10.34,46.67,0.61,184.27,1.64,0,0,50.34,2.14,0,4.77,4.31,1.2,6.65,5.29,1.45,0,64.71,0,0.76,1.15,361.66,0.81,12.41,3.08,1.2,1.88,33.51,0,0,1.2,0.6,0,18.53,0,4.05,8.93,3.22,0
108-118,0,0,0,15.61,11.81,2.59,245.21,0,1.39,4.58,48.28,3.77,0,1.77,3.18,0.67,0.42,0.67,0.44,0,68.26,2.74,6.75,5.17,449.32,0,0.96,7.25,0,1.57,12.91,0,0,0.59,0.44,0,24.65,4.29,2.46,5.62,1.28,5.02
120,0,0,0,32.66,5.96,0,158.31,0,0,0,92.99,6.98,0,0,20.08,11.54,7.46,1.88,0,0,58.77,0,9,4.76,763.18,11.2,2.7,12.22,0,0,20.27,0,0,1.13,0,0,13.08,17.51,0,10.2,2.9,1.1
