stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,mesenchyme,neural,otic,pericytes,spinal.cord,visceral.smooth.muscle
  3-4,11.6,20.14,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.58,0,0,0,0
 10-12,0,0,3.95,0,0,0,0,0,0,12.11,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.07,0,0,4.06,0
 24-34,0,0,0,0.8,0.69,0,0,0,1.53,0.72,0,0,1.02,0
 36-46,0,0,0,0,0,0.91,1.19,0,0.75,2.79,0,0,0.57,0
 48-58,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0
 60-70,0,0,0,0,0,1.65,0,0,1.02,2.03,0,0,0,0
 72-82,0,0,0,0,0,5.51,0,0,0.63,4.2,0,1.2,0,0.81
 84-94,0,0,0,0,0,0,0,0.6,2.16,2.76,1.23,0,0,0
 96-106,0,0,0,0,0,0,0,3.18,0,1.29,0,0,0,7.75
108-118,0,0,0,0,0,0,1.92,4.03,2.74,0,0,0,0,1.72
120,0,0,0,3.37,0,0,0,3.55,0,2.91,0,0,0,0
