stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,172.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0
  5-6,18.96,98.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.27,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.62,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.83,0.95,0,0,0.87,0,0,0,0,0,0,0,0,0,0.88,0.86,0,0.81,3.62,2.04,0,0,0,2.1,0,2.33,2.32,0,0,0,0,0
 24-34,0,0,0,0,3.45,0,0,0,0,0,0,0,0.72,0,0,0,0,1.02,0,0,23.08,0,1.13,0,0,14.18,0,2.96,15.67,0,0,0,0,0.62
 36-46,0,0,0,0,14.95,0,5.83,0,3.97,0,2.25,0,1.57,0,0,0,0,1.21,0,0,43.46,0,0,0.63,0,4.69,5.91,0,8.16,0,0,1.91,0,0
 48-58,0,0,0,0,13.56,1.32,0,0,12.31,0,0,0,0,0.83,0,0.39,1.87,4.94,0,0,97.29,0,0.91,1.14,0.39,1.67,0,0,11.96,0,0,1.28,0,0
 60-70,0,0,5.42,1.86,26.69,0,0.69,0,4.09,0,0,12.3,0.84,0,0,0,0,11.97,0,0,162.51,0,0,0,0,5.82,0,0,34.6,0,0,0,0,0
 72-82,0,0,1.12,39.53,53.67,0,0,0,22.3,0,0,0,0.63,0,0.61,0.78,0,13.91,0,0.7,296.24,0,5.12,0.78,0,0.68,0,0,25.26,0,0,6.4,0,0
 84-94,0,0,2.95,30.75,59.63,0,4.62,1.14,26.24,1.45,0,0,3.25,1.42,0,0,0,14.18,0,0,258.8,0,0,2.47,0,8.49,0,0,14.95,0,0,7.19,1.09,0
 96-106,0,0,1.32,27.85,61.72,1.95,1.53,0,8.05,0.94,0,2.85,0.7,1.95,0,0,0,14.33,0,4.27,190.22,0,1.76,1.12,1.96,4.4,0,0,8.75,1.22,0,6.94,0,0
108-118,0,0,14.08,9.72,68.32,0,0,0,11.29,0.79,0,3.66,1.26,6.22,0.45,0,0,10.76,1.64,2.43,252.81,0,0.96,0,0,7.07,0,0,13.22,0.43,0.8,0.52,0,1.25
120,0,0,6.62,15.79,72.17,0,0,0,47.27,0,0,0,0,3.86,0,0,0,27.3,0,0,558.62,0,6.14,0,0,7.35,0,0,12.23,1.37,0,1.1,0,1.64
