stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,51.36,985.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.95,614.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,12.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.04,0,0,0,0,33.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.43,0,0,0,15.01,0,0,17.37,0,0,0,0,0,0,0,0,0,0
 10-12,0,57.45,0,11.25,0,0,211.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992.11,0,0,0,87.86,0,0,0,0,22.4,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,53.98,3.94,136.6,0,1.36,0,25.62,3.06,0.81,0,0.94,0,0,0,0.94,23.42,0,0,11.56,1965.46,4.32,4.94,5.56,13.93,0,1.12,0,45.8,2.82,0,97.36,216.56,0,0,1.94,0,0
 24-34,0,0,1.6,0,26.25,2,83.52,0,1.2,0.95,92.22,0.74,0,0,1.41,0,1.19,10.05,4.81,56.31,2.53,0,18.99,5305.55,2.56,50.6,10.92,1,0,3.8,0,0,1.41,1.16,16.62,642.36,0,0,2.82,0,0
 36-46,0,0,0,0,17.76,0.81,82.78,0,0,1.41,302.07,0,0,0,0,0,0.6,9.67,0,72.82,0,0,26.31,5094.33,0.65,41.46,8.72,0,0,10.56,0,0,1.06,0,0,787.4,0,0,3.34,0,7.67
 48-58,0,0,0,0,19.19,3.66,327.1,0,9.18,5.25,437.33,0,0.94,1.5,0,0,4.36,1.04,0,128.76,0.8,0.75,26.79,3789.37,0.38,35.82,13.79,0,0,6.78,0,0,0.37,0,0,792.49,0,0,0.5,0,10.46
 60-70,0,0,0,0,25.38,0,736.55,0.93,7.04,14.56,381.71,0,0,0.7,0,0,3.35,0,0,206.18,0,0.69,14.23,3425.89,0,30.04,28.32,0,0,2.04,0,0,0,5.51,0,583.01,0,0.9,0.72,0,3.46
 72-82,0,0,0.98,0,36.04,0.98,885.75,0,0,10.65,361.19,0.54,1.62,4.17,0,1.15,3.09,0,0,216.28,0,0.91,8.7,3251.66,4.03,22.68,24.04,0,2.81,3.05,0,0,0.49,0,0,412.67,0.87,2.79,0.6,0.85,3.62
 84-94,0,0,0,0,24.32,4.2,716.99,0,13.25,9.75,261.58,0.66,0,3.28,0,30.86,2.22,0.96,0,226.48,1.73,4.57,9.23,2001.43,0,17.87,53.7,0,7.18,1.27,0,0,0,0,0,265.9,2,0.63,0.64,1.92,0
 96-106,0,0,2.46,0,22.92,1.27,577.83,0,1.24,6.98,261.12,6.46,0,1.57,0.66,1.56,5.75,10.31,15.46,186.96,2.38,0.75,5.85,1771.01,0.97,29.25,27.83,0,0,3.23,0,0,2.25,0,0,84.53,0,0.68,2.26,1.71,1.24
108-118,0,0,0,0.74,11.54,0.99,779.79,0.43,0.96,1.26,252.92,5.71,0,0.61,1.02,0,1.69,5.16,0.59,164.02,0,6.16,17.99,1988.47,0.41,23.91,33,0,0,7.15,0,0,2.24,0,0,110.61,8.05,1,2.87,0.49,8.1
120,0,0,0,0,26.34,0,881.85,0,0,1.74,542.31,9.61,0,9.93,1.51,3.86,11.6,0,0,285.54,1.31,0,6.72,3652.72,3.31,50.88,27.8,0,0,6.89,0,0,0,0,0,154.01,2.25,8.19,8.01,0,0
