stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.61,836.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6517.07,0,0,0,0,0,0,0,0
  5-6,21.4,345.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79,0,0,0,0,4594.49,0,0,0,0,0,0,0,0
  7-9,4.88,4.71,0,0,0,0,12.98,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,105.58,0,0,0,37.28,404.72,0,0,0,0,0,0,0,0
 10-12,0,0,56.2,0,0,0,0,0,0,0,7.19,0,0,0,0,0,0,0,0,0,0,103.3,15.38,0,0,16.29,69.23,0,0,0,0,0,0,0,0
 14-21,0,0,2.15,247.42,0,0,0,0,0,0,0,0,1.83,0,0,0,0,3.69,0.99,0,0.84,6.65,4.44,0,0,0,416.16,0.83,0,0.91,5.91,0,0,0,0
 24-34,0,0,3.75,144.47,0,0,1.88,5.68,0,0,0,0,0,0,7.67,0,1.75,2.55,7.35,0,0,55.04,0,0,3.29,0,448.6,0,1.45,0,3.12,0,0.6,0,0
 36-46,0,0,0.74,40.22,0,0,1.57,9.25,3.52,0,0,2.57,2.56,0,4.26,0,2.93,0.71,2.94,0,1.05,21.99,0,1.25,0,0,495.09,0,0,0,4.89,0,6.8,0,0
 48-58,0,0,0,41.86,0,0,3.69,4.29,1.6,0,0,0,0,0,7.08,0,2.95,3.9,10.14,0,0,18.58,0,0,0.49,0,419.97,0,0,0,8.25,0,0.41,0,0.89
 60-70,0,0,0,40.94,1.04,0,4.69,14.53,1.05,0.77,0,0,0,0,6.48,0,0,2.38,0.73,0,0,11.7,0,0.89,0,0,430.29,0,0,0,5.9,0.77,0,0,0.71
 72-82,0,0,0,58.28,0,0,7.61,5.26,1.18,1.86,0,0.53,3,0,1.48,0,0,5.14,2.09,0,0,16.08,0,0,2.7,0,434.38,0,0,0,12.45,2.41,0.93,0,0
 84-94,0,0,0,53.17,0,0,4.3,14.25,1.62,0.83,0,1.77,7.14,0.73,4,0,1.55,3.58,10.59,0.66,0,16.08,0,0.77,0.62,0,794.4,0,0,0,0,5.43,1.21,0,0
 96-106,0,0,0,135.3,0,0,28.08,32.97,0.57,3.02,0,8.91,8.37,0,0.82,2.21,0,15.32,3.52,0,1.42,21.64,2.06,3.08,5.23,0,814.82,0,0,0,0,3.95,5.18,3.11,1.41
108-118,0,0,0,115.07,4.53,1.07,7.4,21.91,3.05,6.67,0,3.42,14.1,0,3.79,0,2.23,11.08,3.88,0,0,25.99,0,2.71,2.05,0,496.22,0,0,0,0,4.02,0,0,0
120,0,0,0,182.58,0,0,18.31,36.36,0,3.03,0,0,3.84,0,2.6,0,11.42,13.42,5.56,0,0,12.86,0,2.97,2.3,0,416.26,0,0,0,2.1,2.49,3.31,0,0
