stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,23.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0,0,0
  5-6,7.03,21.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.47,16.26,0,0,15.95,0,0,0,9.68,0,0,0,0,0,0,0
 14-21,0,0,0,0,1254.96,6.06,2.23,0,15.22,0,1.27,2.04,0,0,1.04,0,3.31,0,17.49,1.1,0,1.35,18.31,7.97,0,0,14.63,0,0,21.94,0,15.89,34.79,0,0,0,0,0
 24-34,0,0,0,1.41,484.49,0,4.3,0,97.83,14.74,79.55,0,0,0,1.12,0,33.22,0,39.43,4.87,0,13.62,101.48,0,4.62,8.97,0,0.7,0,0,10.29,51.62,79.27,0,0,0,0,0
 36-46,0,0,0,0,189.95,1.87,2,1.3,175.43,19.85,80.31,0,0,0,0,0,23.49,0,73.47,0,0,12.11,84.44,0,0,6.07,0,1.25,0,0,0,0.83,29.82,0,0,0,0,0
 48-58,0,0,0,0,184.7,0,13.87,0,90,45.39,81.93,0.49,0.51,0,0,0,6.67,8.9,106.93,0,0,10.83,73.61,0,1.24,15.82,0,0,0,0,0,0,38.27,0,0,0,0,6.79
 60-70,0,0,0,0,197.89,0,42.25,0,84.98,53.31,43.06,0,0,0,0,0.82,16.47,0,111.85,1.53,0,2.16,56.93,0,4.78,3.28,0,0,0,0,0,0,0.82,0,1.73,1.77,0,0
 72-82,0,0,0,0,144.33,0,136.72,0,77.44,66.71,70.34,0.6,0,0,4,0,6.82,0,123.27,3.1,0,8.02,29.87,0,3.61,8.13,0,0,0,0,0,0,2.13,1.4,5.4,4.52,0,0.63
 84-94,0,0,2.24,0,254.48,2.28,107.03,0,131.63,71.8,47.22,0.56,0,0,1.23,0,10.48,0,127.86,0,2.07,5.66,19.78,0,8.48,4.52,0,2.36,0,0,0,0,3.02,0,0.58,2.83,2.34,0
 96-106,0,0,0,0,225.98,11,99.11,0,67.48,72.54,35.79,6.85,0,0,6.25,1.05,14.63,0,137.52,1.88,2.17,2.76,75.24,0.87,8.28,11.2,0,7.7,3.39,0,0.68,0,2.49,3.37,3.7,23.38,0,0
108-118,0,0,0,0,281.29,1.32,123.05,0,135.06,70.73,33.2,4.51,0,0.87,2.17,2.2,11.87,0,151.69,0,2.06,2.93,47.22,0.56,9.44,12.52,0,0,0,0,0.47,0,4.58,4.9,1.4,5.98,0.91,1.58
120,0,0,0,0,317.56,0,336.65,0,121.53,73.51,18.5,2.66,0,0,1.65,0,3.07,0,78.86,0,0,2.78,52.06,0,4.78,16.54,0,0,0,0,0,0,0,3.39,0,61.36,0,0
