stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,heart,mesenchyme,mural_cell,neural,olfactory,paraxial_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,6.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.4,0,3.25,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,14.47,0,9.27,10.68,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.05,0,0,0,1.02,0,0
 24-34,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0
 48-58,0,0,0,0,0.94,0,1.28,0,0,0,0,0,0,0.84,0
 60-70,0,0,0,0,0,0,6,0,0,0,0,0,0,6.55,0
 72-82,0,0.64,0,0.66,1.82,7.74,44.66,2.56,10.75,0,0,0,0,28.69,0
 84-94,0,3.67,0,0,0,0.82,10.6,0,13.36,0,0,0,0,137.93,0
 96-106,0,0,2.84,0,2.79,2.59,12.97,0,3.06,1.18,0,0,0,52.42,1.9
108-118,0,1.21,7.06,0,0,1.81,68.08,3.59,2.14,0,0,0,0,86.84,0
120,0,0,0,0,4.6,0,36.6,0,4.24,0,0,0,0,205.81,0
