stage,blastomeres,epidermis,erythrocytes,eye,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,21.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,114.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,46.67,0,22.08,0,0,0,0,0
 10-12,9.09,0,0,0,0,0,0,0,0,59.18,0,8.96,0,0,0,0,0
 14-21,0,4.62,0,0,0,0.95,0,0,1.74,4.81,1.01,0,0,3.45,3.08,7.2,0.96
 24-34,0,1.03,0,0,0,0,0,0,0.61,4.75,0,0,3.98,0,2.43,0,0
 36-46,0,0,0,0,9.08,0,0,0.8,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,5.68,0,0,2.26,0,0,0,0
 60-70,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,2.15,0,10.95,0.77,0,0,0.62,0,0,0,0,0.56,0,0,0,0
108-118,0,0.62,0.96,0.62,0,0.6,0.76,0.59,1.07,1.67,0,0,0,0,0,0,0
120,0,1.16,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0
