stage,axial,blastomeres,epidermis,eye,glial,gut,ionocyte,lateral_line,mucous,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature
  3-4,0,13.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.23,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,11.72,0,0,0,0,0,0
 14-21,0,0,2.8,0,0,0,0,0,0,0.82,1.91,0,4.92,0.93,0,0,0
 24-34,0,0,0,0,0,0,1.13,0,0,0,1.03,0,11.51,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.97,0,18.28,0,1.72,0,0
 48-58,0,0,0,0.56,0.9,0,0,0,0,0,6.03,0,6.67,0,1.13,0,0
 60-70,0,0,0,4.11,1.48,0,0,0,0,0,11.73,0,3.8,0,1.58,0,0
 72-82,0,0,0,2.77,1.63,0,0,0.67,0,0,3.38,0,1.98,0,0,0,1.45
 84-94,0,0,2.29,1.53,0,0,0,0,2.35,0,10.45,0,6.31,0,0,0,0
 96-106,0,0,5.54,3.69,0,1.31,1.25,0,0,0,23.36,0,8.52,0,0,1.88,2.76
108-118,0,0,2.13,0.88,0,0,0,0,0,1.3,1.82,0,8.89,0,0,0,0
120,0,0,1.53,3.2,0,2.57,0,0,2.05,0,7.49,0,2.88,0,0,0,0
