stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,19.82,152.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.23,181.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.52,0,0,0,0,0,0,0,0,0
  7-9,15.42,10.97,13.34,0,0,107.11,0,0,0,0,0,0,0,0,0,0,0,0,0,308.37,31.49,0,0,87.94,6.01,11.18,0,0,0,0,0,0,0,0
 10-12,0,32.98,96.57,0,30.58,51.51,0,0,0,0,0,151.35,0,0,0,0,0,0,0,952.01,56.16,0,0,176.92,0,0,0,13.66,0,0,0,0,0,0
 14-21,0,0,0,8.75,0,5.2,0,0,0,21.63,0.97,1.44,0,0,0,6.83,0,0,2.86,100.07,8.53,0,0,1.79,27.65,2.86,5.54,0,2.73,12.96,80.84,0,0.84,0
 24-34,0,0,0.81,3.62,0,5.84,0,0,0,59.38,0,0,0,0,0,1.48,0,0,2.49,69.81,0,0.63,1.69,0,4.8,0,0,0,0.79,0.64,69.7,0,1.07,0
 36-46,0,0,0,0,0,9.58,0.64,0,0,26.64,0,0,0,1.37,0,4.98,1.37,0,0,29.79,0,3.24,0,0,6.21,3.03,0,0,2.49,0,63.78,0,0,0
 48-58,0,0,0,0.54,0,13.75,0.37,1.78,0,43.48,0,0,0,0,0,3.46,0,0,2.7,29.15,0,0,0,0,4.23,0,0,1.3,0,0,59.79,0,0,0
 60-70,0,0,0,0,0,16.76,0,0,0,25,0,0,0,0.89,0,8.9,0,1.24,1.33,37.23,0,0,1.59,0,0,0,0,0,0,0,18.7,0,0,0
 72-82,0,0,0,0.55,0,13.73,0,0,0,16.18,0,0,0,0,0,6.72,0,0,0.65,15.2,0,1.07,0.84,0,1.14,0,0,0,0,0,2.33,0,0,0
 84-94,0,0,0,2.04,0,2.79,0,0,2.84,10.32,0,0,0,0,0,16.87,0,2.4,0,16.74,0,0,0,0,0,0,0,0.62,0,0,9.81,0,0,0
 96-106,0,0,0,1.2,0,0,0,0,3.05,29.68,0,0,0,0,0.92,15,0,0,0,6.37,0,0.67,0,0,3.53,0.85,0,0,0,0,5.05,0,0,0
108-118,0,0,0.74,1.65,0,9.28,0,0,0,10.48,0,0,0,0.59,0,3.59,0,0,0.5,24.83,0,0.68,0,0,1.05,0,0,0,0.42,0,25.27,0.53,0,1.93
120,0,0,0,4.85,0,2.28,0,0,0,64.26,0,0,5.67,1.05,0,7.34,0,16.13,4.3,46.18,0,0,0,0,4.68,0,0,0,0,0,20.35,0,0,4.69
