stage,blastomeres,epidermis,eye,fast.muscle,glial,gut,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,visceral.smooth.muscle
  3-4,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.59,0,0,0,0,0.68,0,0,0,0,0,15.77,0,102.16,0,3.67,0,0.85,0
 36-46,0,0,1.93,0,0,0,0,10.03,0,0,0,0,0,5.12,0,61.53,0,0,0,0.89,0
 48-58,0,0,5.03,0,3.88,0,0,12.36,0,0,0,0,0.57,32.11,0,55.24,0,0,0,4.07,0
 60-70,0,0,21.2,0,0,0,0,22.81,0,0,0,0,0,57.56,0,92.56,0,0,0,7.81,0
 72-82,0,2.11,28.99,0,0.52,0,0,49.13,0,0,5.51,0,0,66.34,0,187.39,0,0,0,23.49,0
 84-94,0,0,2.38,0,0,0,0,52.12,0,4.67,1.6,0,0,47.63,0,267.03,0,0,0,0,1.74
 96-106,0,0.8,10.07,0,0,0,0.64,151.46,0,0,2.82,3.31,0,78.26,0,326.07,2.93,0,0,0,0
108-118,0,0,15.63,0.64,0,0.65,0,66.93,1.86,0,5.71,0,0,97.66,3.82,259.56,0,1.13,0.5,0,0
120,0,1.96,18.76,0,15.77,0,1.16,87.6,0,0,0,0,0,197.65,0,291.21,0,2,1.22,0,0
