stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,iridophores,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pronephros,somites,spinal.cord
  3-4,137.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,193.7,0,0,0,0,0,0,0,0,0,7.06,0,0,6.24,0,0,0
  7-9,8.61,3.29,0,0,25.68,0,0,0,0,0,230.56,5.25,0,59.68,0,0,0
 10-12,0,6.27,0,0,19.96,0,0,0,0,0,230.91,3.39,0,53.04,14.44,0,0
 14-21,0,0,11.76,0.94,1.92,0,1.15,0,6.13,2.68,21.93,0,0,0,0,1.77,4.88
 24-34,0,0,0.93,0,2.48,0,0,0,0,1.51,12.53,0.69,20.12,0,0,0,3.76
 36-46,0,0,0,0,0.69,0,0,0,0,0,6.58,0,38,0,0,0,0
 48-58,0,0,0,0,1.79,0,0,0,0.74,0,4.16,0,19.35,0,0,0,1.52
 60-70,0,0,0,0,8.6,0,0,0,0,0,2.77,0,6.1,0,0,0,2.46
 72-82,0,0,0,0,8.89,0,0,1.57,0,0,2.31,0,11.96,0,0,0,0.94
 84-94,0,0,0,0,0,1.48,0,0,0,0,7.82,0,4.98,0,0,0,2.81
 96-106,0,0,0,0,0.58,1.25,0,0,1.96,0,1.05,0,24.59,0,0,0,0
108-118,0,0,0,0,0,3.66,0,0,0,0,6.44,0,9.08,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,11.53,0,0,0,0
