stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,9.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.47,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66,17.02,0,0,4.22,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.14,0,0,0,0,3.55,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0.88,0,0,0,0,0,0,0,0,8.45,0,0,0
 24-34,0,2.51,0.64,1.31,0,0,2.4,0,1.05,0,0,0,0,0,0,7.35,1.19,1.88,0,0,0,9.32,0,0,0,0,0,0.67,1.43,0,0.85,6.3,0,0,0
 36-46,0,0,0,1.93,0,0,0.58,0.72,2.76,0,0,0,0,0,0,11.29,0,9.48,0,0,0,13.04,0,1.4,0,0,0,7.65,0,0,0,4.09,0,0,0
 48-58,0,0,0,3.46,2.19,0,0.68,1.59,8.71,1.12,0,0,0,0,0,5.02,0,8.63,0,0,0,32.8,1,0.39,0,0,0,2.94,0,0,0,6.52,0,0.43,0
 60-70,0,0,0,4.33,3.18,0.99,0.64,0.98,45.57,3.46,0,0.57,0.92,0,0.85,1.05,0,17.17,0,0,3.88,40.41,0,2.22,0,0,0,2.72,0,0,0,0.93,0,0,0
 72-82,0,0.61,0,3.6,1.88,0.74,0,1.4,46.34,3.4,0,0.55,0,2.2,0.88,4.55,0,36.41,0.56,0,2.73,35.35,0,0,0.75,0,0,0,0.64,0,0,5.57,0.74,0,1.16
 84-94,0,1.11,0,10.46,2.56,0.64,0.66,1.89,30.22,2.87,0,2.47,0,0,0,5.19,0,15.25,1.18,0,4.08,27.87,0,0,1.04,0,0,4.76,1.35,0,0,0,0,0,0
 96-106,0,2.05,0,8.61,10.11,0,4.97,6.81,20.77,3.64,0,1.14,0,0.75,0,2.26,0,41.01,0,0,7.23,18.02,0,0,0,0,0,0.59,2.32,0,0,2.11,2.77,1.57,3.22
108-118,0,1.98,0,12.09,9.04,0,2.04,8.69,51.6,10.82,0,2.42,0.65,0,0.49,4.76,1.48,46.25,0,2.26,3.81,25.77,0,0,1.33,0,0,2.97,1.33,0.44,0,3.19,1.54,0.44,4.01
120,0,1.22,0,4.34,9.66,2.14,2.73,0,60.7,15.54,0,4.49,0,0,1.74,8.61,0,32.71,0,0,4.3,39.22,1.93,1.99,2.49,0,5.29,0,1.79,0,0,11.27,0,9.46,0
