stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,hatching.gland,lateral.line,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord
  3-4,11.62,706.84,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0
  5-6,21.68,817.91,0,0,0,0,0,0,0,28.77,0,0,9.65,15.11,0,0
  7-9,5.79,8.42,0,0,9.19,0,7.85,0,0,125.25,4.84,0,35.21,0,7.76,0
 10-12,0,4.94,7.07,0,8.05,0,0,0,0,41.5,0,0,10.75,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0
 36-46,0,0,0,0,0,0.58,0,0,0,1.16,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0
 60-70,0,0,0,0,10.43,0,0,0,0,0,0,0,0,0,0,1.07
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0
 84-94,0,0,0,0,0,0,0,0.78,0,0,0,0,0,4.09,0,0
 96-106,0,0,0,0.65,0,0,0,0,0,0,0,0.68,0,37.75,0,0
108-118,0,0,0,0,0,0,0,0,1.13,0,0,0,0,12.98,0,0
120,0,0,0,0,0,1.09,0,0,0,0,0,0,0,27.03,0,0
