stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,39.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.48,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.79,0,0,0,4.95,0,0,0,0,0,3.79,0,0,0,0,0,0,25.71,0,0,5.78,0,0,0,0,0
 10-12,0,8.15,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,64.88,0,22.53,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,2.31,0,0,0.97,0,0.95,0,0,0
 24-34,0,0,0,0,0,0.7,0,0,0,0.76,0,0,0,0,0,1.66,0,0,14.9,0,0,0,1.19,0.67,0,0,0
 36-46,0,0,0,0,0,5.7,0,0,0,0,0.72,0,0,0,0,6.8,0,0.7,22.31,0,0,4.72,0,0.89,0,0,0
 48-58,0,0,0,5.9,0,2.85,0.55,0,0,0,0,0,0,0,2.43,9.07,0,0,39.36,0,0,1.44,0,1.06,0,0,4.81
 60-70,0,0,0,4,0,6.32,0,0,0,1.93,3.45,0,0,0,1.83,2.66,6.48,0,23.4,13.91,0,2.14,2.41,0.89,0,0,0
 72-82,0,0,0.57,1,1.16,2.09,0.74,1.5,0,0,0,0,0,0.99,0,9.61,0,0,26.51,1.64,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,8.29,0.97,0,0,0,0,0,0,0,4.44,0,0,18.04,0,0,0.65,0,1.61,0,4.19,2.54
 96-106,0,0,0,0,0,4.3,0.94,0,1.41,0,0,0,1.61,0.92,0,1.69,0,2.66,10.37,0,0,0,0,0,0,2.44,0
108-118,0,0,0,1.13,0,1.49,0,4.2,0,0,0,0,0.45,0,0,7.23,0,0,4.03,0,0,0.99,0,0,1.52,0.78,0
120,0,0,0,0,0,9.31,10.78,0,0,12.79,0,0,0,0,0,1.76,0,2.43,12.06,0,0,0,0,0,0,2.96,0
