stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.12,9.28,0,0,0,0,0,9.03,0,11.32,0,0,0,0,0,0,0,0
 14-21,0,1.11,0.96,3.31,1.17,0,0.96,0,0,0,1.08,1.03,0,0.81,0,0,0,0,0,0,2.52,0,0,59.99,70.84,5.11,0.85,0,2.35,0,3.31,0,7.98,9.92,228.09,696.03,93.67,0,0,0,0,0
 24-34,0,1.73,0,0.79,0,0,14.57,83.27,3.01,0,11.9,0.91,0,0.8,0,1.76,0,0,3.48,3.06,19.75,0.69,0,72.11,663.84,7.13,4.91,1.86,0,0,5.94,0,0,11.15,145.45,321.62,300.58,0,0,0,0,3.96
 36-46,0,0,0,8.58,0,0,72.32,105.25,0.93,0.96,46.05,0.56,0,3.98,0,0,0,0,7.13,2.69,31.54,0,2.19,57.19,1851.13,1.14,0,1.6,0,0,20.78,0,0,0,65.53,19.61,465.23,0,0,0,0,1.22
 48-58,0,0,0,1.61,0,0,451.39,77.85,9.55,1.26,85.91,1.58,1.02,6.18,0,0,3.37,0,0,0,64.14,0,1.1,26.99,2311.88,6.37,1.49,0,0,0,1.26,0,0,3.46,23.93,0,392.75,0,0.85,0.54,0,10.44
 60-70,0,0.62,0,1.38,0,0,1366.35,46.07,0,1.48,122.23,2.3,0,0,0,1.18,0.57,2.38,5.1,6.33,171.31,1.14,3.02,17.63,2332.68,22.04,0,5.98,0,0,0.67,0,1.38,5.37,8.56,0,404.46,0,5.81,0,1.49,29.21
 72-82,0,3.57,0,12.12,0.81,0,1128.51,58.03,9.6,0,124.8,7.45,0,0,0,1.94,3.54,1.41,0,0,206.68,0,6.45,28.61,1604.84,1.94,0,9.23,0,4.28,2.97,0,0,9.85,6.99,0,240.63,3.26,2.29,5.35,2.27,21.88
 84-94,0,0.66,0,11.98,0.76,0,1034.61,74.77,0,1.05,112.28,8.81,0,0,0.65,4.96,0.61,5.22,6.1,12.77,228,0,8.01,21.76,1489.79,5.56,0,20.08,0,0.6,7.27,0,0,11.33,8.34,0,199.3,7.96,5.47,1.18,9.63,4.81
 96-106,0,1.1,0,14.84,17.08,0,1324.21,124.27,0.96,0,190.93,10.97,0,5.18,2.59,8.63,1.76,23.86,9.55,2.94,232.48,0,9.81,31.07,1469.18,3,1.44,39.39,0,1.76,6,0,0,17.35,24.11,0,171.72,7.81,3.68,5.93,6.27,54.66
108-118,0,1.76,0,31.32,9.93,4.57,970.02,83.8,0,1.02,124.19,10.53,0,0.69,0.76,10.5,1.29,14.1,0.56,2.72,269.38,0,2.02,35.62,1200.06,26.74,2.61,23.49,16.21,0,1.45,0,0,10.1,11.88,0,89.57,9.3,14.39,4.5,2.52,65.5
120,0,8.85,0,35.43,2.1,0,739.6,68.19,1.51,0,158.85,11.79,0,1.85,0,0,4.85,4.65,2.8,0,231.05,0,9.96,56.21,1457.11,7.78,4.24,32.02,0,0,1.35,0,0,5.33,10.61,0,130.83,15.46,0,0,2.09,31.77
