stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,0,55.21,0,0,3.88,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,136.1,21.81,0,0,23.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,21.22,0,0,14.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.97,0,0,0,12.05,0,0,3.03,0,0,0,0,0,0,0
 14-21,0,0,2.19,4.78,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.9,9.25,0,3.03,0,0,0,0,0,33.73,0,0,0,0,0
 24-34,0,1.44,0.67,4.77,0,1.68,0,0,0.87,0,0,0,0,0,0,0,0,8.76,0.63,0,3.67,557.53,0,13.49,1.51,0,0,0,0,0.63,129.63,0,0,0,0,0
 36-46,0,0,0,0,0,45.78,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,1790.02,0,17.39,0,0,0,0.59,0,0,374.52,0,0,0,0,0
 48-58,0,0,0,2.76,2.12,307.09,5.12,0,15.17,0,0,0,0,0,0,0,0,17.58,0,0,0.65,2292.86,6.25,8.29,1.85,0,0,5.41,0,0,495.48,0,0,0,0,2.69
 60-70,0,0.62,0,6.36,0.6,1185.56,0,0,18.35,0,0,0,1.92,0,0,0.63,0,12.46,0,6.31,1.07,3516.67,0,9.24,0.57,0,0,0,0,0,837.51,0,0,2.92,0,1.29
 72-82,0,1.48,0,9.48,0,822.87,0,0,16.14,0,0,1.42,0.59,0,0,0,0,18.76,0,0,2.76,2068.22,0,5.79,0,0,2.81,1.61,0,0,493.79,0,0,0,0,3.22
 84-94,0,2.22,0,5.8,0.69,866.63,0,1.13,21.39,2.46,0,0,0,0,0.76,1.43,0,11.11,0.62,0.63,6.07,1642.36,0.56,18.96,2.7,0,0,10.51,0,0,394.61,1.67,3.01,10.15,0,0
 96-106,0,0.99,0,7.84,0,586.39,0,0,8.8,1.23,0,0,0,0,0.81,1.2,0,8.96,0,0,0.83,1147.83,0,6.16,0,0,0,3.46,0,0,133.75,0.88,0,0.92,0.91,2.76
108-118,0,0,0,16.59,0.72,561.51,0,0,11.99,0.67,0,0,1.69,0.45,0,0,3.84,14.34,1.41,0,0,1424.79,0,6.87,1.1,0,0,1.33,0,0,91.73,3.11,0,0,0,0
120,0,0,0,16.15,0,418.92,1.16,0,24.05,0,0,0,0,0,0,0,0,20.9,0,0,1.05,1463.68,0,0,0,0,0,1.24,0,0,73.7,0,0,0,0,0
