stage,blastomeres,epidermis,eye,glial,heart,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,20.16,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0
  5-6,36.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,26.41,0,3.49,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,15.6,0,0,0,4.33,0,0
 14-21,0,1.65,1.8,0,0,0,1.16,0,2.68,1.29,0,0,2.98,0,0
 24-34,0,0,0,1.2,0,0,1.51,0.75,3.1,0,0,0.85,1.04,4.68,0
 36-46,0,1.07,4.12,0,0,0,0,0,0.79,0,0,0,1.58,2.41,0
 48-58,0,0,6.07,0.56,0,1.34,0.49,0,2.65,0,0,0,0,0,0
 60-70,0,0,3.1,0.6,0,0,0.71,0,0,0,0,0,0,0,0
 72-82,0,0,0.57,0,0,0,0,0,2.22,0,0,0,0,0.9,0
 84-94,0,0.94,2.44,0,0,0,0,0.87,0,0,0,0,0,0,0
 96-106,0,0,1.1,0,0.66,0,1.19,0,2.29,0,0,0,0,0,0
108-118,0,0,9.27,0,0,0.89,3.72,0,3.53,0,0,0,0,0,0.5
120,0,0,6.15,0,0,1.22,0,0,0,0,0,0,0,0,0
