stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,1.4,3.73,0,0,1.04,0,0.93,0,0,0
 24-34,2.54,4.05,0,0,1.73,0,0,0.86,0,0,0,28.43,0,0,0,0,0,0.88,0,0
 36-46,0,14.47,3.94,0,1.45,0,0,0,2.06,0,0,27.52,0,6.76,0,11.87,0,1.97,1.96,1.52
 48-58,0,19.01,0,0.42,0,0,0,0,1.39,0,4.7,13.16,0,0,0,0,0,8.51,0,0
 60-70,2.89,3.17,0,0,8.07,0,0,0,2.09,1.91,0,35.45,0,0,0,0,0,0,0,0
 72-82,0.51,2.48,0,0.89,0.69,0,0,0,1.38,0,0,7.24,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.14,0,0,0,6.28,0,0,8.12,0,0,0,0,0,0,0,0
 96-106,0,3.75,0,0,3.18,0,0.81,0,1.66,0,0,0,0,0,0,0,0,0,0,0
108-118,2.16,1.95,1.36,0,1.31,0,0,0,2,0,0,7.74,0,0.73,0,0,0,0,0,0
120,2.13,15.09,0,5.31,8.83,2.95,0,0,3.61,0,1.91,33.18,6,1.32,0,0,0,0,0,0
