stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,60.09,244.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,28.09,0,0,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.83,0,0,0,0,0,0,0,0,0,0
  7-9,6.78,8.95,0,42.92,0,0,0,14.48,0,0,0,0,0,92.06,0,0,0,0,0,0,0,0,0,0,54.46,4.8,0,0,8.42,0,8.68,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.3,0,6.38,0,0,0,11.68,0,0,0,0,0,77.07,0,0,0,0,0,0,0,0,0,0,85.06,4.28,0,0,29.46,0,0,0,18.23,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,7.96,10.4,0,0,0,0,0,0,0,12.25,1.1,0,0,0,0,0,8.28,0,0,5.47,14.98,14.45,0,0,0,0,10.78,6.51,0.89,0,3.11,6.68,0,0,1.75,0,0
 24-34,0,0,0,8.44,16.06,0.95,0,0,0,0.74,0,0,1.69,0,0,0.71,7.02,0,0,1.61,14.19,12.59,0,8.03,24.34,0,0,0,0,0,49.24,0,1,0,1.88,1.77,0,0,20.92,0,0
 36-46,0,0,0,1.67,15.39,0,0,1.84,0,2.78,0,1.54,1.16,0,0,0,15.13,0,0,9.56,15.58,28.23,0,3.2,75,0,0,0,0,0,53.63,0,0,0,0,1.71,0,0,2.07,0,0
 48-58,0,0,0,0.5,12.32,0.46,0,0.98,0,7.47,0,3.37,1.59,2.02,0,1.05,11.79,0,0,1.48,10.61,10.03,0,3.76,39.07,0,0,0.44,0,0.56,37.65,0,0,0,0,1.76,0,0,3.41,0,0
 60-70,0,0,0.89,0,31.07,0.57,0,0,0,1.24,4.48,7.44,8.46,1.22,0,2.6,5.02,0,0,8.73,43.59,15.3,0,2.17,43.3,0,0,0,0,0,41.34,0,0,0,0,2.88,0,0,3.25,0,0
 72-82,0,0,1.4,0,13.89,9.2,0,22.02,0,2.89,8.05,22.14,15.33,1.17,4.91,9.23,5.66,0,1.2,0,53.61,32.74,1.11,5.05,44.43,0,0,0,0,1.48,12.96,0,0.64,0,0,1.97,0,3.34,6.15,2.07,0
 84-94,0,0,0.66,0,36.23,14.1,0,13.67,0,13.58,8.37,17.24,43.78,3.07,0,3.95,6.76,0,0,2.64,52.9,69.29,5.89,7.88,31.5,0,3.6,0.67,0,1.65,102.02,0,0,0,0,8.45,0,5.52,6.56,4.73,3.41
 96-106,0,0,1.62,0,30.41,21.22,0,11.44,2.9,8.92,14.57,36.21,47.62,0,3.09,4.83,6.15,0,6.05,0,133.35,49.74,11.24,11.69,47.59,0.6,5.46,1.78,0,2.45,51.59,0,1.43,0.84,0,3.98,0,1.51,7.85,3.84,0
108-118,0,0,2.27,0,72.96,0.49,13.61,5.06,0,30.4,9.72,39.05,101.88,0,2.13,6.75,4.53,1.18,5.85,0,169.78,81.68,18.94,9.49,38.18,0,2.5,0.44,0,9.42,75.65,0,1.36,0,0,4.53,0.58,2.62,8.41,4.62,3.45
120,0,0,0,8.82,102.22,17.18,1.03,8,0,26.46,30.59,116.21,83.11,0,0,21.99,21.01,0,14.49,1.84,357.81,24.5,3.46,5.39,112.21,1.96,7.27,2.92,0,1.79,54.03,0,0,0,0,1.34,0,1.46,44.07,12.01,0
