stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.84,17.88,664.52,2.14,0,2.27,2,0,0,0,0,0,4.51,0,2.04,65.08,0.9,0.86,0,4.09,0,15.24,0,7.65,21.45,0,0,0
 24-34,0,0.88,239.56,0.68,0,0,0.71,0,0,0,0,0,1.2,0,1.92,30.83,0,1.88,0,0,1.66,0,0,0.68,13.53,0,0,0
 36-46,0,0,75.76,3.39,0,1.89,0,0,0,0,0,0,2.66,0,0,38.74,0,0,0,0,0,0,3.56,0,8.03,0,0,4.38
 48-58,0,0,0,10.02,0.72,0.57,0,0,0,0,0,0,4.52,0,0,22.2,0,0,0,0,0,0,0,0,5.17,0.66,0,0
 60-70,0,0,6.48,12.17,0,0,0,0,0,0,0,0,3.19,0,0,10.96,0,0,0,0,0,0,0,0,3.14,0,0,0
 72-82,0,0,0,9,0,1.07,0.53,0,0,0,0,0,9.5,1.13,0,13.73,0,0,0,0,1.17,0,0,0,6.62,0,0,0
 84-94,0,0,0.96,21.49,0,3.48,1.71,0,0.94,0,0,0,2.59,0,0,16.11,0,0,2.88,0,2.39,0,0,0,0,0,0,0
 96-106,0,0,0,10.21,0,5.23,0,1.46,0,0,2.33,0,7.12,0,0,14.86,0,5.7,3.3,0,6.36,0,0,0,0,0,0,0.85
108-118,0,0.63,0,9.3,0.56,0.63,0,0,0,1.03,0,1.87,0.78,0,1.01,24.63,0,0.96,0,0,1.72,0,0,0,1.86,0,2.72,0
120,0,1.66,0,9.97,0,5.98,0,0,0,0,0,0,0,0,0,26.07,0,0,0,0,1.2,0,0,0,0,0,0,0
