stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,155.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,233.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.3,0,0,0,8.27,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,13.2,0,9.64,0,0,42.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405.43,13.32,0,0,24.94,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.18,0,37.14,0,7.16,65.89,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,1020.2,5.5,0,0,57.86,6.2,0,0,4.44,0,0,0,0,0,0
 14-21,0,0,9.85,10.88,162.65,2.13,1.38,0,0,0,0,0,3.39,0,3.83,0,0,2.25,0,0,0.86,127,0,63.27,306.71,0,0.9,0,3.11,47.32,1.31,1.07,1.96,0,0,0
 24-34,0,0,5.7,9.48,54.25,0,5.23,0,0,0,0,0,0.83,0,10.94,9.74,0,2.64,1.03,0,0.63,75.88,0,157.9,192.44,0,0,0,0,63.32,0,0.62,11.31,0,0,0
 36-46,0,0,1.47,0,32.11,0,4.19,0,0,0,0,0,0,0,16.48,3.09,0,5.03,0,0.86,0,72.17,0.88,132.4,127.55,0,1.12,0,0,44.27,0,0,7.93,0,0,4.56
 48-58,0,0,1.49,0,6.16,0,10.64,1.2,0.45,2.47,0,0,0,0,7.48,0,0.53,2.1,0,0,0,65.65,0,88.72,155.52,0,0.52,0,0,27.46,0,0,14.9,0,0,0
 60-70,0,0,10.91,0,3.3,0,8.64,0,0.63,0.65,0,0,0.86,0,1.49,0,0,6.13,0,0,0,62.84,0,69.33,136.98,0,0.68,0,0,8.12,0,0,4.52,0,0,0
 72-82,0,0,1.94,0,7.14,0,14.39,1.14,0,1.71,0,1.19,4.02,0,17.1,0,0,7.56,0.62,0,0,41.47,6.21,104.99,202.49,0,0,1.65,0,17.32,0,0,12.75,0,0.93,0
 84-94,0,0,6.66,0,6.04,0,11.47,0,0,6.24,1.28,0,0.81,0,7.52,0,0,4.85,0,0,0,19.68,0,122.18,276.73,0,0,0,0,18.8,0,0,1.89,0.78,0,0
 96-106,0,0,2.56,0,13.78,6.02,33.69,2.43,0,1.53,1.47,0.64,0,0,13.95,0,0,8.71,1.38,1.82,0,24.89,0,230.18,338.99,0,2.42,0,0,29.27,0,0,0,0,0,0
108-118,0,0,2.88,2.62,2.9,10.58,12.19,0,0.53,7,0,0,0,0.42,19.96,0.7,0,11.87,0.54,0,0.85,26.64,0,132.65,276.01,0,0,0,0,19.21,0,0,2.73,1.05,2.1,0
120,0,0,0,0,6.18,0,0,0,0,0,2.89,0,2.21,0,15.79,0,0,21.54,0,0,0,21.77,3.31,163.48,179.09,0,0,0,0,8.34,0,0,0,0,0,10.98
