stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,193.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.78,0,0,0,0,0,0,0
  5-6,26.13,431.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.43,0,0,0,0,7.18,0,0,0,0,0,0,0
  7-9,9.22,0,18.3,0,26.19,0,0,0,0,7.31,0,0,0,0,0,0,0,0,201.21,3.34,0,0,59.54,0,0,0,0,0,0,0,0
 10-12,0,0,26.2,0,9.15,0,0,0,0,4.38,0,0,0,0,0,0,0,0,169.02,3.16,0,0,63.32,0,3.57,4.13,0,0,0,0,0
 14-21,0,0,1.05,2.11,2.61,0,0,1.25,0,0,0,0,0,0,0,1.16,0,4.23,42.37,0,0,1.07,0,7.4,3.07,0,3.07,5.43,1.8,0,0
 24-34,0,0,0.62,1.41,19.88,0,0,1.55,0,0,0,0,1.01,0,0.78,9.17,0.81,0,37.1,0,0,0,0,2.78,0,0,0,10.39,0,0,0
 36-46,0,0,0,17.29,7.45,0,0,0.71,0,0,0,0,0,0,0,3.64,0.74,0.65,40.32,0,0,0,0,0.56,0,0,0,8.26,0,0,0.85
 48-58,0,0,0,1.81,14.72,0.4,0,4.75,0,0,0,4.58,0.42,0,0.4,0.87,0,0,19.24,0,0,0.76,0,1.35,0,0,0,5.89,4.62,0,0
 60-70,0,0,0,11.84,13.05,0,4.01,2.52,0,0,0,0,0,0,0,1.6,0,0,15.3,0,0,0,0,0,0,0,0,0.68,0,0,0
 72-82,0,0,0,0,4.43,0,0,4.36,0.49,0,1.12,0,0,0,0,3.13,0,0,12.07,0,1.23,0,0,1.37,0,0,0,1.84,0,0,0
 84-94,0,0,0,1.58,5.08,0,0,3.2,0,0,0,0,1.32,0,0,0.95,0,0,17.75,0,0,0,0,1.94,0,0,0,0,0,0,0
 96-106,0,0,0,0,8.28,0,0,0,0.8,0,0,0,0,0,0,2.55,0,0,8.75,0,0,0.93,0,0.56,0,0.62,0,0,0,0.65,0
108-118,0,0,0,0,17.21,0,0,3.38,0,0,0,0,0.65,1.13,0,3.27,0,2.27,10.62,0,0.49,0,0,0.46,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,33.46,4,0,0,0,0,0,0,2.92,0,2.81,4.34,0,0,0,0,0,0,0,0,0,0,0,0
