stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,30.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.19,0,0,11.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7,0,0,0,5.43,3.78,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.49,0,0,0,17.79,0,0,0,0,0,0,0,0,0
 14-21,0,3.76,0,0.94,0,0,0,0,0,0,0,0,0.93,0,2,0,0,0.91,25.84,0,0,1.27,0,0,3.21,0,0,1.86,4.48,0,0,0
 24-34,0,0,0,3.55,0,0.82,0,0,0,0,0,0,0,0,2.1,0,0,0.75,44.85,0,0.76,0,0,0,0,0.65,0,0.99,8.86,0,1.14,0
 36-46,0,0,0,4.88,4.8,0,0,0,0,0,0,0,0,0,3.32,0,0,4.83,33.01,0,0,0,0,0,0,5.57,1.49,0,3.66,0,0,0
 48-58,0,0,0,17.87,4.28,0,2.66,0,0,0,0,0,0,0,3.1,0,0,3.87,49.05,3.15,0,0,0,0,0,0,0,0,6.56,0,0,0
 60-70,0,6.98,0,36.1,0,0,15.53,0,0,0,0,0.61,0,0,9.34,0,0,0.68,42.05,0,0,2.13,0,0,0,0,1.39,0,1.98,2.29,0,0
 72-82,0,0,4.77,18.8,2.97,0,10.02,1.97,0,0.49,0,0,0,0,6.19,0,0,0,31.38,0,0,1.13,0,0,0,0,0,0,1.65,0,0,0
 84-94,0,0,0,11.47,0,0,1.12,0.63,0,0,1.17,0,0,0,2.12,0,0,0,34.42,0,0,0,0,0.77,0,0,0,0,2.23,0,0,0
 96-106,0,0,0,11.06,2,0,0,0,0,0,3.54,0,0,1.95,0,1.61,1.36,0,14.78,0,0,0,0,0,0,0,0.72,0,2.38,2.45,0.61,1.09
108-118,0,0,4.65,4.21,4.8,0,4.16,0,0,1.22,3.77,0,6.14,0,7.66,0,0,0.41,37.08,0,0,0,0,1.53,0,0,0.51,0,0,0,0,0
120,0,5.01,2.65,48.1,8.05,0,9.63,0,1.15,0,5.59,0,0,0,4.71,0,0,1.11,29.53,0,0,0,0,0,0,0,0,0,13.85,0,0,0
