stage,endoderm,epidermis,fin_epithelia,gut,lateral_line,mesenchyme,mucous,neural,olfactory,otic,periderm,spinal_cord,taste
 10-12,7.61,0,0,0,0,0,0,9.61,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,4.18,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,5.25,0.67,0
 36-46,0,0,1.06,0,0,1.85,0,2.04,0,0,4.65,0,0
 48-58,0,0,0,0,0,0,0,0.97,0,0,9.89,0,0
 60-70,0,3.21,0,0,0,0,0,0,0,0,3.21,0,0
 72-82,0,0.51,0,0.66,0,0,1.76,0.56,0,0,13.13,0,0
 84-94,0,0,0,0,0,1.5,0,0,1.66,0.71,20.6,0,0
 96-106,0,4.81,0,1.08,0,0,0,0,0,0,37.13,0,0
108-118,0,1.95,0.48,0,1.11,4.01,0,0,0,0,21.53,0,0.63
120,0,0,0,0,0,0,0,0,0,0,9.86,0,0
