stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.9,115.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.52,0,3.53,5.64,0,0,0,0,0,0,0
 10-12,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,41.93,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.48,0,0,0,1.21,0,0,0,0,0,0,3,0,0,0,1.16,0,0,1.66,1.06,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,8.48,0,0,9.13,0,0,0.63,0,0,0,0.67,0.6,0,0
 36-46,0,0,0,0,4.05,2.55,0,0,0,0,0,0,0,0,15.66,0,0,0.91,0,0,0,5.07,0,0,0
 48-58,0,0,0,0,1.92,3.85,1.64,0,0.54,0,0,3.54,0,0.7,20.14,0.39,0,0,0,0,1.36,0.59,0,0,3.67
 60-70,0,0,0,0.71,0,14.45,0,0,0,0,0,0,0.73,1.99,8.97,0,0,0,0,0,0,1.75,0,0,0
 72-82,0,0,0,0,0,12.84,0,0,0,0,0,0,2.85,0,10.71,0,0,0,0,0,0,7.44,1.02,0,0
 84-94,0,0,0,0,0,23.5,0,0,0,0,0,0,0.69,0,9.04,0,0,0.77,0,0.68,0,0,0,1.01,0
 96-106,0,0,0,0,0,12.11,3.87,0,0,2.81,0,0,5.66,0,13.37,0,0,0,0,0,0,0,0.62,0,0
108-118,0,0,0.74,0,0.72,9.59,0.93,0,0,0,0,0,2.08,0,8.21,0,0,5.04,0,0,0,0,0,0,0
120,0,0,0,0,0,3.74,0,0,0,0,2.73,0,0,0,14.43,0,0,0,0,0,0,0,0,0,0
