stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,10.66,138.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.77,0,0,0,0,0,0
  5-6,0,168.55,0,0,0,0,0,0,0,0,0,0,0,0,0,13.76,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.66,0,52.57,4.35,0,0,0,0,0,0
 10-12,0,4.52,5.95,0,5.08,0,0,0,0,0,0,0,0,0,0,220.86,0,62.85,0,5.62,0,14.37,0,0,0
 14-21,0,0,0,83.44,0,0,0,2.16,0,5.52,0,0,5.33,0,0.91,7.89,0,1.17,3.45,0,3.64,2.94,0,0,0
 24-34,0,0,0.77,24.24,4.36,0.74,0,1.34,0,2.51,0,0,22.66,0,4.33,10.04,0,0,0.82,0,0,0,2.81,0,0
 36-46,0,0,0,4.08,0,2.55,0,0,0,0,0,0,15.86,0,0,11.56,0,0,4.22,0,0,0,1.29,0,0
 48-58,0,0,0,10.99,0,2.73,0.42,0,0,0,6.38,0.41,1.65,0,0,4.91,0,0,0,0,0,0,2.89,1.02,0.56
 60-70,0,0,0,13.67,0.82,2.4,0,0,0,0,0,0,1.63,1.91,0,2.3,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,8.17,6.89,0.55,0,0,0,0,0,0,1.18,0,2.5,6.84,0.76,0,0,0,0,0,0,0,0
 84-94,0,0,0,28.08,5.51,2.73,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,8,0,1.25,0,0,1.05,0,0,0,3.4,0,0.58,0,0,0,1.61,0,0,0,0,0,0
108-118,0,0,0,35.95,0,6.86,0.63,0.48,0,0,0,0,0.91,0,0,9.57,0,0,0,0,0,0,0,0,0.59
120,0,0,0,21.51,2.77,3.77,0,0,0,0,0,0,0,0,0,29.26,0,0,0,0,0,0,0,0,1.1
