stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.72,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.15,0.83,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,116.11,0,1.74,1.05,0,0,0,0,0,0,119.15,0,0,0,0,0
 24-34,0,1.51,0,0,0,6.14,0,0,0,0,0,1.77,0,1.43,0,0,0,0,8.78,0,1.5,755.77,6.95,29.63,0,0,0,5.72,0,0,0,278.17,0,0,0,0,0
 36-46,0,0.98,0,0,0,41.67,0,0,1.17,4.03,0,0,0,0,0,0,0,1.96,9.76,0,2.27,1512.05,1.11,39.25,0.57,0,0,3.62,0,0,0,356.3,0,0,0,0,0
 48-58,0,0.46,6.39,0.41,0,196.66,0,2.85,1,44.68,0,0,1.91,0,0,0,4.01,0.54,19.77,0,8.3,2062.04,0,22.59,0.39,0,0,5.17,0,0,0,392.69,0,0,3.09,0,4.08
 60-70,0,0.89,1,3.91,0,818.9,0,3.13,12.8,30.16,0,0,5.61,0,0,0,0,0,41.45,0,2.8,3223.95,1.12,18.96,0,0,0,2.73,0,0.59,0,522.8,0,0.63,1.08,0.59,14.44
 72-82,0,0.81,13.11,5.77,0,1170.16,0,2.82,7.1,58.7,1.66,2.13,7.98,0,6.54,0,1.35,0,36.84,0.71,2.78,3335.81,0,23.88,4.45,0,0,1.85,0,4.56,1.07,382.48,0,0,10.05,2.03,3.97
 84-94,0,0,19.72,2.01,0,872.23,0,0.62,0,63.62,0,0.7,2.38,0,1,0,1.55,0,28.19,0,5.73,2587.53,0,11.36,2.89,0,0,5.76,0,0,0,270.97,0.9,5.22,5.09,0,0
 96-106,0,0.83,16.46,28.12,9.29,1009.02,0,0.57,2.29,72.6,2.27,0,1.7,0,0,0,3.15,0,54.91,0,4.43,2213.71,3.6,36.19,0,0,0,3.58,2.06,0,0,124.19,1.22,0,6.64,0,0
108-118,0,1.19,14.7,0,0,879.44,2.03,0.52,0,87.99,1.99,0,2.9,0,3.13,7.43,2.33,0,44.13,0,3.71,3057.82,0,19.18,1.66,0,0,5.61,0,0,0,136.88,0.89,3.33,3.11,0,0.83
120,0,0,37.84,6.01,0,980.6,0,1.21,0,139.88,6.67,0,0,5.9,5.74,1.63,0,0,32.23,0,2.35,5088.33,0,35.01,9.31,0,7.06,2.55,0,0,0,238.59,0,0,5.43,5.18,0
