stage,blastomeres,epidermis,eye,melanocytes,mesenchyme,neural,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,0,0,0,0,0,142.05,0,0,0
  5-6,6.37,0,0,0,0,0,48.03,0,0,0
  7-9,0,0,0,0,0,10.38,0,0,0,0
 10-12,0,0,0,0,0,22.75,0,0,0,0
 14-21,0,0,0,0,0,0.94,1,0,0,0
 24-34,0,0,0,0,0,2.96,0,2.83,0,0
 36-46,0,0,0,0,0.56,7.6,0,0,0,0
 48-58,0,0,0.64,0,0.4,11.09,0,0,0,0
 60-70,0,0,3.84,0,0,12.4,0,0,0,1.82
 72-82,0,0,0.89,0,1.92,14.25,0,3.05,0.63,0
 84-94,0,0,0,0,0,12.34,1.22,0,0,0
 96-106,0,0,1.2,0,0.67,4.34,0,0,0,0
108-118,0,1.01,4.45,1.75,0,9.33,0,0,0,0
