stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,24.38,0,0,0,0,0,0,0,0,0,0
 10-12,9.96,0,0,0,0,0,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.83,0,0,0,23.35,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,4.14,0,0,0.98,0,0,0,3.36,0,0,0,0,0,0,0,0,0,2.5,0,0,0,112.67,0.82,0,0,0.87,0,0,0,0,28.26,0,0,0,0,0
 24-34,0,0,0,3.53,0,0,21.26,0,0.66,0,35.53,0,0,0,0,0,0,0.93,0,0,5.78,0,0,0.75,1292.8,0,1.59,2.35,0,0,0,0,0,184.05,0,0,9.55,0,0
 36-46,0,0,0,1.88,0,0,33.54,0,0,1.41,244.5,0,0,0,0,0,3.64,0,0,0,17.31,0,0,5.89,3529.56,1.86,1.62,3.32,0,0,1.71,0,0,546.52,0,0,1.94,0,0
 48-58,1.29,0.46,0,13.41,0,0,214.84,0.85,2.85,0.99,536.62,0,0,0.48,0,0,8.19,0,0,0,46.16,0,0,1.99,4695.34,1.73,2.67,2.36,3.66,0,8.41,0,0,641.4,0,0,8.62,0,11.13
 60-70,0,0,0,13.94,0.61,0,237.27,2.93,1.13,0,599.94,0,0,0,3.19,0,0,0,0,7.36,44.71,0,0,5.26,4783.71,5.22,0,0,0,1.19,15.57,0,0,570.18,0,0.71,4.24,2.27,12.58
 72-82,0,0.87,0,20.59,4.81,0,254.75,0,0,3.44,511.88,0.81,0,1.95,5.72,0.53,2.71,1.07,5.43,0,103.04,0,3.07,2.9,3120.2,0,1.2,7.41,0,2.17,2.17,0,0,415.37,2.08,0.66,48.81,1.31,4.86
 84-94,0,3.05,0,16.13,6.02,0,390.47,0.79,0,1.65,307.24,0.97,0.64,2.15,2.47,0,2.52,0.64,0,5.72,76.92,0,5.47,3.01,2204.82,7.9,5.54,3.48,0,1.68,9.72,1.13,0.69,255.58,0,2.83,43.83,0,0
 96-106,0,0,0,20.73,12.12,5.91,225.19,0,3.15,0,384.46,1.32,0,1.57,2.87,0,0,0,0,0,85.96,0,6.62,8.32,1791.01,1.41,3.65,8.52,0,1.37,3.52,0,0,148.86,0.61,7.31,35.46,4.09,14.54
108-118,0,0,0,34.37,1.42,0,196.98,0,0.76,0,503.43,2.07,0,1.35,0.43,0,3.78,0,0,0,120.69,0.94,5.82,3.27,2438.43,0,3.04,28.49,0,8.38,10.54,0,1.87,134.82,1.13,0.67,46.93,8.5,7.63
120,0,0,0,22.28,1.69,0,465.84,1.06,3.29,0,849.28,0,0,0,5.11,1.25,1.18,0,1.84,1.79,270.73,0,8.42,2.53,3766.31,1.32,16.26,13.62,0,12.89,9.85,0,0,239.31,0,0,54.71,8.22,0
