stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.1,27.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.98,84.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.51,0,0,0,9.9,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.83,0,0,0,3.01,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.14,0,0,0,0,0,0,0,24.75,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,149.25,10.1,3.32,0,0,0,0,0,75.48,0,0,0,0,0
 36-46,0,0,0,0,1.22,0,3.05,0,1.39,0,0,0,1.05,0,0,0,0,0,0,0,0,0,709.49,0,0,2.33,0,0,0,0,96.41,0,0,0,0,0
 48-58,0,0,0.54,0,5.09,0,35.81,0,0,0.39,26.85,0,0,0,0,0,0,0,6.38,0,0,0.38,1396.02,0,0,0.39,0,0,3.67,0.54,61.28,0,0,0,0,0.63
 60-70,0,0,2.82,0,4.9,0,130.75,1.07,0,0.67,36.89,0.68,13.88,0,0,0,0,0,16.13,0,0,2.34,2961.54,0,0,2.4,0,0.66,0,2.61,226.03,0,0,0,0,0
 72-82,0,0,2.65,0,8.69,6.74,194.8,0,0,18.04,44.09,0,0,0,0,0,0,0,13.89,1.11,0,2.82,3283.16,0.51,2.51,0,0,0,0,0.97,203.6,0,1.57,1.99,0,0
 84-94,0,0,1.85,0,14.19,1.44,201.96,0,0.66,0,40.51,0,0.79,0,0.71,0.69,0,0,14.8,0,0,0,2276.29,0,2.51,3.62,0,0,3.84,0,103.46,0,0,0,0,0.58
 96-106,0,0,0,1.03,8.35,1.75,216.39,0,0,1.08,46.81,2.69,0,1.28,0.77,0,15.43,0,21.86,0,0,0,2175.95,0,0,4.67,0,0,13.07,1.42,94,3.3,0,0,0,3.35
108-118,0,0,4.48,0,9.91,1.46,138.94,0,1.25,0.5,36.97,1.04,0,0.51,0,0,0,0.89,28.75,0,1.19,11.09,2076.18,0.46,1.13,3.09,0,0,0.43,0,35.76,4.95,3.26,0,3.36,1.42
120,0,0,4.41,0,27.91,4.26,262.92,0,1.33,5.27,115.48,0,0,3.44,0,0,0,0,13.79,1.56,19.08,14.87,3752.96,0,0,16.84,0,0,4.3,0,114.47,0,0,13.33,0,0
