stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.53,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.25,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.96,0,12.81,0,1.41,0,1.32,0,0,0,1.87,0,0,0,0.9,12.72,0,0,0,0,0,0.9,2.3,16.65,0,0,0,0
 24-34,0,0,4.2,0,39.26,0,3.07,0,14.85,0,4.62,0,6.34,17.16,0,0,9.85,240.51,0,0,0,0,1.01,0,0,12.25,0,0,0,0
 36-46,0,0,0.61,0,48.98,0,14.26,0,72.69,0,13.86,0,0.7,51.45,0,0,33.16,274.81,0,0,0,0,3.1,0,0,36.91,0,0,0,0.57
 48-58,1.15,0,0,0,37.37,0,10.53,0,66.37,0,12.49,0,0,71.01,0,0,5.41,292.54,1.29,0.94,4.77,0,5.61,0,0,11.72,0,0,0,0
 60-70,0,0,14.31,0,13.1,0,18.94,1.07,37.21,0,1.22,3.29,6.87,88.2,0,0,4.38,428.47,0,3.89,0,0,0,0,0,0.58,0,0,1.84,0
 72-82,0,0,4.32,0.63,50.94,0,61.56,0,52.54,0,11.07,0,0,344.57,0,0,0.61,491.13,0,3.83,0,0,1.76,0,0,4.43,0,2.08,0,0
 84-94,0,0,5.32,0.81,19.54,0,58.19,0.86,74.05,0,12.37,0,0,153.32,0,1.9,2.04,486.54,1.55,2.48,0,0,0,0,0,0,1.01,0,0,0
 96-106,0,0,5.3,0,30.49,18.3,80.49,1.19,99,0.85,15.72,0.65,0,351.81,0,0,3.93,671.83,3.63,8.99,0,1.37,1.58,0,0,0,0,0.92,6.54,0
108-118,0,0,7.02,1.79,24.06,0,56.96,1.49,96.52,1.06,4.94,0,31.36,310.69,2.58,2.05,0,609.88,0,9.78,0,0,1.33,0,0,0,0,0,10.71,11.03
120,2.37,0,0,0,16.57,0,36.67,0,177.61,6.3,0,0,0,90.52,0,9.27,0,280.42,0,2.49,0,0,13.64,0,0,0,0,0,0,0
