stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,77.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.43,107.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.4,0,0.84,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,23.53,0,0,0.94,0,1.02,0.9,0.98,0,2.71,0,0,0,0,0
 24-34,0,0,0.66,2.93,3.63,0,5.02,0,0,0,1.51,0,0,0,1.56,1.45,0,0,1.13,0,4.74,0,0,5.39,75.69,1.05,6.31,2.91,0,8.46,0,0,0,25.84,0,0,0,0,0
 36-46,0,0,0,0,10.97,0,16.24,0,7.07,0,0,0.56,0,0,0,1.15,0,0,0,5.48,2.67,0,0,2.35,163.03,0,7.54,0,0,11.9,0,0,0.65,45.33,0,0,0,0,0
 48-58,0,0,0.42,0,4.51,0,28.11,0,4.54,0,0,0,0.37,0.88,6.05,0.37,0.98,0.38,0,7.44,3.82,0,0,7.5,248.87,0,3.57,0.38,0,6.17,0,0,0,46.18,0,0,0,0,0
 60-70,0,0,0.57,0,0,0,77.97,0,0,9.06,6.37,1.23,0.89,0,9.09,0,0,0,0,2.31,17.86,1.01,1.12,1.75,475.46,0,11.18,0,0,0.94,0,0,0,62.94,0,0,0,0,3.58
 72-82,0,0,1.5,0,5.6,11.04,135.56,0.8,0,2.57,24.8,2.26,0.5,0,1.57,0,0.72,0,0,0,19.84,1.82,0,4.19,465.34,0,1.49,0,0,5.17,0,0,0,67.09,0.97,0.52,0.98,2.82,0
 84-94,0,0,0,0,15.28,15.04,98.8,0,1.96,0,17.62,2.5,0,0,0.95,0.56,1.98,1.23,0.67,3.01,19.52,2.96,0,2.17,258.41,0.89,0.64,2.77,4.92,14.78,0,0,0.58,66.17,2.04,0.98,6.71,0,3.95
 96-106,0,0,0,0,8.25,38.36,139.05,0,2.07,0.84,39.56,5.96,0,0,7.84,4.83,0.6,1.11,14.76,2.48,35.39,0,1.1,1.41,366.96,0,12.36,3.18,0,39.2,0,0,0,58.56,3.8,0,9.23,0,9.94
108-118,0,0,0,0,15.81,20.17,135.76,0.49,1.92,2.35,23.96,4.06,0,0,7.43,7.56,0.86,1.29,0,8.21,47.89,1.76,0.94,0.48,509.42,0,16.86,2.96,1.76,10.61,0,0,0,32.49,2.13,1.33,5.17,1.71,6.36
120,0,0,0,0,24.79,18.15,157.77,0,11.47,5.02,39.53,5.31,0,0,4.21,0,15.4,1.76,0,3.89,36.06,1.49,0,0,1139,0,0,14.1,12.66,25.34,0,0,1.83,98.44,0,0,19.53,12.52,0
