stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.32,400.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.78,0,0,0,0,0,0,0,0
  5-6,154.54,671.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.46,0,0,0,8.05,0,0,0,0,0,0,0,0,0
  7-9,78.11,0,147.67,0,0,55.56,0,0,0,0,93.14,0,0,0,0,0,0,0,0,0,0,0,700.91,72.35,0,0,457.83,0,0,0,0,0,0,0,0,0
 10-12,0,52.82,156.35,0,33.89,17.52,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,646.08,56.98,0,0,379.75,0,5.47,4.56,111.74,0,0,0,0,0
 14-21,0,1.36,2.28,6,2.9,0.95,0,0,3.16,0,0,0,0,0,0,0,0,1.08,8.98,0,0,5.46,46.29,2.17,0,0,1.85,0.98,0,9.1,0,1.67,29.5,4,0,0
 24-34,0,0,0,0,5.87,7.01,1.86,0.69,2.86,1.69,0,3.88,6.6,0,0.66,0,2.61,0,45.23,0.87,0,9.54,87.49,0,0,0.84,0,6.01,0,0,0,4.35,19.61,27.33,0,1.3
 36-46,0,0,0,6.09,1.3,6.12,0,0,4.45,0,0,0,0,7.57,0.65,0,0,0,13.63,0,1.39,5.89,49.43,0,0.69,0,0,15.08,0,2.07,4.09,0,7.69,3.65,0,0
 48-58,0,0,0,10.08,0,5.61,1.55,0,0.46,0,0,0,1.12,0,1.85,0,0,0,18.29,0,6.79,2.71,32.68,0,0,0,0,8.34,0,0,0,0,10.3,12.03,0,0.88
 60-70,0,0,0,11.28,0,6.27,0,0,1.73,10.11,0,0,2.51,0,6.92,0,6.57,0.59,28.58,0,7.01,7.01,35.39,1.45,0,0,0,15.5,0,0,0,0,2.35,0,1.54,0
 72-82,0,0,0,3.99,0,1.83,0,2.68,1.88,0.71,0,1,1.25,0.93,2.4,0,0,0,12.26,0.57,1.01,2.85,1.84,0,0,0,0,10.87,0,0,0,0,0,2.88,0,12.44
 84-94,0,0,0,8.97,0,5.47,0.93,0,0,0,0,0,0.56,0,7.35,0,0.58,0,21.27,0,0.7,3.34,28.57,1.8,0,0,0,20.64,0,0,0.62,0,0,2.46,0,0
 96-106,0,0,0,3.9,0,3.03,0,0,1.43,1.3,0,0,0,1.94,0.74,0,0,0,9.15,0,0,0,15.9,0,0,2.41,0,15.58,0,0,0,0,0,10.84,0,0
108-118,0,0,0,2.73,1.46,5.36,0,0.43,7.16,4.12,0,0,0.59,0,8.31,0,2.4,0,8.93,0,0,4.79,9.15,0,0,0,0,9.32,0,0,0,0,0,20.67,0,0
120,0,0,0,11.37,7.78,5.28,0,0,44.49,7.48,0,0,13,2.48,11.27,2.53,0,0,37.33,0,0,6.45,47.69,0,0,2.08,0,12.53,0,0,0,0,0,1.41,0,0
