stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,80.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.28,0,0,5.55,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,45.2,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.11,0,0,0,0,0,11.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.31,0,0,0,12.02,0,0,3.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.85,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.31,0,0,0,0,0,2.55,0,0,0,0,25.86,0,0,0,0,0
 24-34,0,0,0,0,6.14,0.67,0,2.85,0,0,0,2.33,0,0,0,0,0,0,0,0.95,0,2.13,0,0,1.83,524,0.77,1.22,0.64,0,0,1.41,0,0,0,1.35,92.15,0,0,2.57,0,0
 36-46,0,0,0,0,0.94,1.01,0,14.75,0,1.39,0,0.78,0,0,0,5.39,0,0,0,0,6.42,10.53,0,0,2.9,1453.89,7.05,2.21,2.52,0,0,2.27,0,0,0.58,0,186.45,0,0,8.64,0,0
 48-58,0.58,0,0,0,4.15,0,0,146.43,0,1.96,0,11.05,0,0,0.38,0,0,0,0,0,8.53,19.23,0,0,2.87,2435.98,6.45,7.38,0,0,0,10.44,0,0,0,0,349.44,0,0,2.01,0,6.44
 60-70,0,0,0,0,27.82,0,0,1061.16,0.9,0.8,2.34,24.44,0,0,0,1.92,0,0,7.7,0,0.59,37.01,0,0,0.68,4964.62,1.31,5.15,0.89,0,0,9.38,0,0,0,0,617.32,0,0,7.93,0,2.58
 72-82,0,0,0.93,0,9.9,3.15,0,1290.43,0,5.41,3.67,81.23,4.03,0,0,2.88,0.53,1.81,0,0,0,56.23,0,0,1.29,3649.3,9.27,5.31,1.42,0,0.71,7.2,0,0,0,0,299.43,14.71,1.14,8.87,0.76,7.06
 84-94,0,0,0,0,16.6,7.56,0,1000.38,0.68,0.96,1.43,43.97,0,0,0,0,0,0.74,1.2,2.93,7.01,43.72,0,0.86,4.25,2264.15,1.43,2.29,7.01,0,0,5.61,0,0,0,0,283.74,0,1.57,7.6,2.73,4.56
 96-106,0,0,0,0,18.75,9.49,0,1076.68,0,0,0,63.36,1.38,0,0.58,5.6,0.71,0,0,0,3.66,43.93,0.71,10.72,5.28,2013.8,0,5.15,0.81,0,0,10.5,0,0,0,0,136.15,1.13,2.45,3.26,0,10.31
108-118,0,0,0,0,23.1,9.8,2.51,726.98,0.65,0.61,1.81,84.19,4.56,0,0.8,0.44,0,1.57,0,2.4,5.57,33.65,0,0.69,3.93,2329.56,0.59,4.58,4.06,0,2.37,2.77,0,2.32,0,0,74.75,0,0,14.35,0.65,1.67
120,0,0,0,0,46.35,19.7,0,906.38,0,0,0,91.17,3.85,0,0,11.2,2.02,0,0,0,0,84.78,0,1.26,4.23,4458.68,0,19.01,3.28,0,0,2.33,0,0,0,0,118.21,0,0,19.34,0,3.17
