stage,axial,blastomeres,endoderm,eye,hatching.gland,neural,paraxial.mesoderm
  3-4,0,13.76,0,0,0,0,0
  5-6,13.61,24.71,0,0,0,0,0
  7-9,0,0,4.32,7,3.97,23.58,0
 10-12,0,0,4.28,0,0,16.18,4.89
