stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,23.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.21,0,0,0,0,0,34.07,0,0,0,0,0,23.53,0,0,0,0,0,0,0,0,0,0,135.49,5.45,0,122.65,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.18,0,0,0,10.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352.71,0,0,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.74,33.51,64.18,0,42.55,0,0,0,2.3,29.27,0,1.13,0,1.31,0,0,0,51.03,0,0,91.97,672.31,13.34,4.69,0,0,4.46,1.12,2.47,13.17,0,21.47,213.89,0,0,132.12,0,0
 24-34,0,0,3.66,11.44,11.04,0,45.48,0,0.92,8.26,23.93,8.75,0,3.52,0.6,0,0,0.7,0,167.53,0,8.35,50.2,1007.9,0.71,0,0,5.51,0,0,0,1.51,0,10.51,192.11,0,0,467.47,0,0
 36-46,0,0,0,2.66,3.49,0,27.35,0,0,8.55,66.75,1.51,0,3.34,3.15,0,0,2.39,0,379.07,0,41.57,35.27,493.87,0.65,13.92,0,0.77,0,0.81,0,0,0,0,114.87,0,10.42,262.13,3.1,0
 48-58,0,0,0,4.23,2.59,0,87.59,0,0,4.56,195.15,0,0,4.73,3.1,0,0,4.99,0,374.85,0,37.37,17.37,320.14,0,3.31,0,2.11,3.63,0,0,0,0,0,55.52,0,2.15,102.69,0.97,4.6
 60-70,0,0,0,4.56,0.67,0,214.82,0,0,3.36,204.29,0.95,0,3.53,11.81,2.14,1.16,1.16,0,423.47,0,18.21,27.46,214.9,0,0.78,0,28.78,0,0,0,0,0,0,48.59,0,16.77,95.38,5.55,2.89
 72-82,0,0,0,3.65,5.43,0,215.98,1.33,0,6.8,178.31,0.75,0,1.37,7.19,1.21,0,1.56,0,657.42,0,38.27,22.59,205.83,0,3.19,0,51.3,0,0,0,0,0,0,26.9,0,32.61,178.78,18.42,4.93
 84-94,0,0,0,9.41,13.45,0,202.8,0,0.66,3.49,158.11,4.75,0,4.42,9.55,2.67,2.21,0.78,0,396.2,0,71.57,29.55,153.7,0,12.91,0,18.57,0.82,0,0,0,1.41,0,26.33,0,10.58,194.41,17.69,17.05
 96-106,0,0.7,0,4.01,43.6,0,145.03,0,1.3,11.22,130.44,2.65,0,3.48,9,0.81,2.25,4.79,8.49,512.59,0,52.53,27.31,184.55,0,20.78,0,57.89,2.96,0.76,0,1.22,0,0,3.42,1.68,27.71,274.36,37.81,4.53
108-118,0,0,0,3.27,10.4,0.45,101.89,0,1.28,8.25,167.33,2.22,0,1.4,8.86,0.84,0,4.08,6.92,575.7,1.08,51.94,33.38,144.56,0,9.46,0,73.73,1.26,0,0,0.58,0,0,6.06,0,30,150.35,24.44,17.21
120,0,0,0,35.04,34.22,0,74.5,0,1.35,0,275.32,4.01,0,10.49,22.85,0,0,0,0,579.14,0,16.98,28.25,134.99,0,15.29,0,87.19,0,0,0,0,0,0,15.16,0,43.74,236.09,32.73,2.34
