stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,55.35,1360.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.83,0,0,0,0,0,0,0,0
  5-6,10,486.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,8.9,0,0,8.57,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.82,0,30.52,0,0,0,43.01,0,0,0,0,0,17.76,0,0,0,0,0,0,0,0,0,0,0,257.64,3.33,0,0,101.46,0,0,0,0,0,0,0,0,0,0
 10-12,0,26.92,0,32.82,0,11.87,0,48.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720.85,16.21,0,0,187.57,0,0,0,68.28,0,0,0,0,0,0
 14-21,0,0,0,3.69,35.78,4.23,0,50.18,0,0,0,15.6,1,0,2.37,1.08,0,0,0,0,0,24.66,0,0,18.28,402.86,10.18,0.94,3.9,8.34,0,16.53,40.39,3.83,0,22.59,95.16,0,0,0
 24-34,0,0,0,1.03,15.42,5.1,0,112.7,0,1.73,1.26,4.83,0,1.82,0.62,6.48,0.64,0.97,0.75,0,0,72.95,0,0.82,14.47,730.85,4.46,3.23,6.01,0,0,23.08,0,4.6,0,6.48,125.52,8.38,0,10.44
 36-46,0,0,0,0,8.59,1.87,0,115.62,0,0,0,8.75,1.89,0,0,8.12,0,0,1.15,0,0,47.49,0,0,10.85,351.01,0,0,1.75,0,0,9.97,1.39,0,0,0,69.49,4.48,0,0
 48-58,0,0,0,0,3.43,0,0,134.85,0,0,1.02,10.41,0,0,0.67,4.88,0,1.96,0,0,0.39,51.68,0.52,0.5,6.45,146.5,0.48,0.47,1.85,0,0,3.9,0,0,0,0,30.23,0.47,0,2.69
 60-70,0,0,0,0,2.16,0,0,120.26,0,1.5,0.71,9.07,0,0,0,17.59,0.56,0,0,0,0,44.1,0,1.19,5.33,103.4,0,0.89,1.64,0,0,4.29,0,0.59,0,0,8.39,0.9,0,10.22
 72-82,0,0,0,0,1.38,2.07,0,71.22,0,0,0,25.11,2.16,0,0,1.12,0,2.17,0,0,0,32.7,1.14,1.95,6.79,78.22,0,3.09,0.53,0,0,1.65,0,0,0.53,0,8.48,6.67,0,4.78
 84-94,0,0,0,0,5.5,1.25,1.17,66.07,0,2.51,0,11.91,2.16,0,0,4.78,0,0,1.19,0.81,0,45.16,0,2.39,8.85,52.27,0.98,2.46,1.29,0,0,7.99,0,0,0,0,10.2,4.24,0,0.62
 96-106,0,0,0,0,11.76,1.27,0,32.79,0,0,0,21.13,6.75,0,0.58,15.99,0,0,2.23,0.76,1.06,27.74,5.11,2.97,4.39,60.51,0,4.68,4.58,0,1.37,1.95,0,0,0,0,0,8.81,1.36,5.68
108-118,0,0,0.76,0,9.82,3.46,0,62.54,0.64,0.46,1.78,22.47,0.72,0,0,4.52,0.42,0,0,1.02,0,35.43,1.41,2.11,5.24,106.53,0.59,0.54,1.65,0,0,5.03,0,1.91,0,0,2.89,1.14,0.57,2.3
120,0,0,0,0,13.67,0,0,53.32,0,0,0,24.1,2.89,0,0,16.4,0,0,0,3.76,0,13.76,0,0,5.79,76.49,2.45,1.57,0,0,0,0,0,0,0,0,13.87,1.7,0,3.63
