stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,19.62,0.88,0,4.49,0,0,0,5.08,1.09,0,0,0,0,0,0,0,7.48,0,0,3.71,87.99,0,0,0,3.71,4.66,12.62,0.87,0,14.4,22.72,0,0,0,0,0
 24-34,0,0,1.11,0,0,5.17,0,0,0,3.56,0,0,0,2.09,0,0,0,0,4.48,0,0,0.79,135.78,0.67,2.19,0.65,0,2.62,0,0,1.54,0.82,36.88,0,0,2.26,0,1.98
 36-46,0,0,0.64,0,0,12.11,0,0,0,4.61,0,0,0,0,0,1.16,0,0,5.4,0,0,4.8,60.49,0,0,0,0,1.46,0,0,0,0,16,0,0,0,0,1.52
 48-58,0,0,2.2,0,0,63.55,0,0.52,0,14.97,0,0,0,0,0,0,1.95,0.43,14.27,0,0.37,3.01,184.91,0,0,0.43,0,2.31,0,0,0,0,39.87,0,0,3.03,0,6.47
 60-70,0,0,2.18,0,0,46.1,3.7,0,0,13.74,0,0,0.6,0,0,0,0,0,14.1,0,0,3.98,75.92,0,0,0.63,0,3.28,0,1.54,1.84,0,15.59,0,0.84,0,0,0
 72-82,0,0,0.63,0,0,71.03,0,3.67,1.06,15.43,0.63,0,0,0,0,0,0,0,26.93,0,0.76,1.75,168.69,0,0,0,0,1.73,0,0,0,0,12.3,0,0,1.49,3.66,0
 84-94,0,1.01,1.94,0,0,17.83,1.33,0,0,6.24,0,0,1.7,0,2.32,0,0,0,19.6,2.54,6.55,1.95,46.62,0,3.82,6.47,0,4.29,0,0,0,0,0,0,1.88,1.61,0,7.62
 96-106,0,0,4.82,1.08,0,40.65,0,1.25,1.62,3.63,2.71,0,1.88,0,0,0,0,0,10.88,0,1.09,0.81,75.11,0,0,2.51,0,10.28,0,0,0,0,1.73,1.64,0,0,0,0
108-118,0,0,4.55,1.09,0,21.55,0,0.52,0,16.75,0.95,0,1.65,0,0,0.69,0.88,0,7.97,0,3.03,1.02,72.82,0,1.43,1.79,0,7.47,0,0,0,0,2.32,0,0.67,0,0,0
120,0,0,5.99,0,4.06,11.89,0,0,0,10.19,3.22,0,3.47,0,0,0,0,0,29.04,0,0,1.46,192.28,2.11,0,0,0,3.8,0,0,0,0,0,0,0,1.33,0,0
