stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.3,0,0,0,0,0,0,0,0,0,0,10.02,3.56,6.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.9,0,4.34,0,0,0,0,0,0,0,0,0
 14-21,0,1.01,1.02,0,0,0,0,0,0.89,0,5.09,17.47,2.52,0,0,1.31,0,1.82,6.04,0,0,0,0
 24-34,0,0,2.68,0,0,2.05,0,1.54,2.72,0,1.09,30.98,0,0,0,0,0.66,0,5.93,0,0,1.33,0
 36-46,0,0,0,1.19,0.63,1.43,0,0,0,0,3.57,26.06,0,0,13.8,0,0,0,6.96,0,0,0,0
 48-58,0,0,0,11.67,0,0.63,0,0,2.32,0,0,46.53,0.5,0,0,0,0,0,4.55,0,0,0,0
 60-70,0,0,2.83,11.18,0,1.09,0,0,5.53,0,0,15.74,0.66,0,0.66,0,0,0,3.85,0,0,0.63,0
 72-82,0,0,0,4.57,0,0,0.59,1.19,5.53,0,0,2.41,0,0,0,0,0,0,0,0,0.85,0,0
 84-94,0,0,0,12.38,0,5.7,0,3.86,1.15,0,0,6.44,3.42,0,1.78,0,0,0,0,0.74,2.09,0,0.57
 96-106,0,0,1.12,4.05,0,0,0,3.45,3.8,3.7,0,0.81,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,12.26,0,0,0,1.69,0,0,0,7.4,0,0,0.46,0,0,0,0,0.83,0,0,1.26
120,0,0,0,0,0,0,0,11.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
