stage,epidermis,eye,fin.mesenchyme,ionocyte,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,4.29,0,0,0,0
 10-12,0,0,0,0,0,0,9.38,6.77,0,0,0,0
 14-21,0,0,0,0,0.87,0,3.64,0,0,2.06,2,0
 24-34,0,0.68,0,0,1.13,0,6.06,0,0,0,0,0
 36-46,0,0.71,0,0,0.78,0,4.8,0,0,0,0,0
 48-58,0,0.4,0,0,0,5.98,4.85,0,1.71,0,0,0
 60-70,0,8.88,0,0,0.93,0,10.01,0,0,0,0,0
 72-82,0,0,1.09,0,2.45,0,1.54,0,0,0,0,0
 84-94,0,3.79,0,0.6,0,0,2.98,0,0,0,0,0
 96-106,0,0,0,0,4.17,0,4.68,0,0,0,0,0
108-118,1.28,0,0,0,0,0,4.98,0,0,0,0,0.42
