stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,329.4,5226.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.07,0,0,0,0,0,0,0,0
  5-6,592.56,8864.42,21.19,0,0,0,0,0,0,88.21,0,0,0,0,0,783.18,51.85,214.29,60.67,0,0,0,0,0,0,0,0
  7-9,173.52,140.17,241.9,0,0,495.48,0,0,0,159.76,0,0,0,0,0,4264.56,188.68,1473.73,30.1,22.19,0,12.83,0,0,0,0,0
 10-12,4.89,136.1,314.04,0,32.54,467.14,0,0,0,127.4,0,5.32,0,0,0,4479.1,218.44,1770.62,9.74,9.84,9.12,208.8,8.29,4.33,0,0,0
 24-34,0,0,0,1.17,0,0.71,0,0,0,0,0,0,3.06,0,0.95,4.77,0,0,0,0,0,0,0,1.55,0,0,3.2
 36-46,0,0,0,11.84,0,0,0,0,0,0,0,0,6.48,0,0,5.03,0,0,1.47,0,0,0,0,1.43,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,29.3,0,0,1.59,0,0,7.36,0,0,0,0,0
 60-70,0,0,0,0,0,11.16,0,2.67,0,0,0,0,9.1,0,0,6.75,6.36,0,0,0,0,0,0,0,1.05,0,0
 72-82,0,0,0,0,0,0.86,0,0,0,0,1.48,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,1.53,0
 84-94,0,0,0,0,0,1.62,0,0,0.58,0,0,0,5.34,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.58,1.45,0,0,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,1.23,0,0,1.25,0,0,0,0,0,0,1.57,0
120,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,1.02,0,0,0,0,0
