stage,epidermis,eye,fin.mesenchyme,glial,gut,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,8.8,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.86,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.99,0,0,0,0,0
 24-34,0,0,0,0,0,0.97,0,9.17,0,0,0,0,0
 36-46,0,0,0,2.5,0,2.5,0,19.79,0.66,0,0,0,1.7
 48-58,3.16,0,0,2.47,0,4.42,0.46,46.52,0,2.85,0,2.19,2.3
 60-70,0,0.79,0.64,6,0,7.55,0,15.45,0,0,0,0,0
 72-82,0.7,0,0,2.97,0,4.91,0,11.59,0,0,1.16,0,0
 84-94,0,0.75,0,1.23,0,10.24,0,6.39,0,0,0,0.83,0
 96-106,0,7.88,0,7.59,0,9.63,0,8.85,1.03,0,0,0,0
108-118,0,0,0,2.94,1.31,15.41,0,1.96,0,0,0,0,0
120,2.06,0,0,2.7,0,7.27,0,14.33,0,0,0,0,0
