stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,241.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.74,451.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0,0,36.96,0,0,0,0,0,0,0,0
  7-9,0,6.05,0,61.69,0,0,0,21.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.05,9.15,0,0,74.71,0,3.28,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.68,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.64,0,4.33,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.27,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27,0,0,0,0,0,0.84,0,0,6.77,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,1.49,0,0,0,0,0,0,0,0,0,57.24,0,0,0,0,0,0,0,0,33,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,6.43,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,128.52,0,1.31,0,0,0,0,0,0,108.5,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,44.96,0,0,0,0.4,0,0,0,0,0,0,0,0,0.83,0,0,0,197.52,0,0,0,0,0,0,0,0,79.14,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,51.7,0,0,0,0.57,8.97,0,0,0,0,0,220.42,0,1.72,0,0,0.67,141.37,0,1.19,2.12,0,0,0,0,0,98.84,0,0,0,0,0
 72-82,0,0,0,0,1.54,0,0,31.67,0,0,0,2.95,311.76,0,0,0,5.13,0,4.89,0,18.58,1.59,0,2.41,161.62,0,0,1.06,0,0,0,0,0,23.64,2.31,1.34,0,0.51,0
 84-94,0,0,2.58,0,2.22,8.03,0,54.03,0,0.55,0.59,4.17,728.65,0,3.65,0,0,0,7.85,0,11.92,0,0,3.13,106.02,0,1.86,15.15,0,0,5.84,0,0,53.18,0,0,1.84,0,9.49
 96-106,0,0,23.88,0,24.7,22.62,2.72,172.4,2.08,2.04,16.21,55.01,5407.24,0,13.84,0.9,4.6,1.29,22.15,0,93.26,6.42,6.43,4.93,571.79,0,8.35,4.43,0,4.64,67.66,3.26,0,4.69,7.23,4.24,11.75,5.08,18.75
108-118,0,0,6.59,0,27.01,22.14,30.72,246.86,7.14,5.28,5.34,60.31,15064.91,3.05,3.42,0.49,4.56,2.22,86.07,0,104.46,7.79,2.73,14.38,1037.51,1.03,4.38,2.67,0,6.86,29.83,1.09,0.6,22.66,5.42,2.83,7.77,0.87,5.66
120,4.73,0,0,0,38.71,47.79,3.29,204.86,1.58,17.93,3.32,50.41,12908.24,0,15.55,0,0,0,266.92,1.51,145.92,0,7.16,8.29,2295.53,7.73,19.57,11.63,0,0,36.7,0,0,0,6.78,0,9.27,0,19.46
