stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2.63,37.57,2.88,0,54.7,0,0,0,14.13,3.91,2.21,0,0,0,0,0,0,31.29,0,0,27.4,1102.03,77.7,1.19,27.03,2.66,0,3.08,1.1,11.31,2.5,0,13.78,256.87,0,0,3.06,0,0
 24-34,0,1.05,1.84,42.29,0.62,0,334.72,0,2.77,1.86,106.64,1.28,9.04,0,0.59,0,1.2,0,0.69,104.06,4.95,0,33.88,4407.77,10.16,5.17,20.52,0,0,15.93,0,0.71,3.15,1,6.18,822.17,0,0,20.71,0,1.49
 36-46,0,0,0.63,18.88,0,0,709.83,0,0,1.53,502.24,1.39,6.03,0,0,11.69,2.34,0.57,10.31,124.45,0,9.4,22.81,5304.49,3.94,16.59,19.04,0,0,20.56,0,0,2.42,0,0,1422.88,0,1.04,9.16,0.78,7.96
 48-58,1.29,0,0,25.89,3.98,0,966.15,0,0.39,4.27,938.8,0,2.72,2.12,4.58,5.41,1.47,0.65,3.22,152.62,0,9.14,22.67,3608.11,24.36,3.03,17.99,0,0.47,23.33,0,0,0.56,0,0,1135.14,0,0,6.52,0.48,6
 60-70,0,0,0,3.56,0,0,1100.09,0,0.87,11.64,780.1,0,0,0,0,0,3.43,0,4.52,159.47,0,19.5,12.86,2483.74,3.3,7.79,12,0,1.13,15.45,0,0,4.15,0,0,450.47,1.22,2.52,7.35,2.31,10.3
 72-82,0,0.5,0,18.88,1.96,0.64,1002.02,4.93,4.8,0.89,487.57,3.44,2.46,0.59,0.55,15.34,5.38,0,0,244.54,0,10.22,13.07,1744.12,0.53,0.55,15.73,0,8.65,1.31,0,0,1,0,0,251.76,0,3.92,13.74,16,18.22
 84-94,0,0,0,18.01,12.17,1.48,882.97,0.56,1.94,3.51,335.46,2.13,2.61,1.71,3.99,2.76,0,0,0,236.44,0,8.39,17.44,1174.78,0,5.67,21.15,0,6.4,9.06,0,0,0.74,0,0,176.96,1.01,5.85,14.71,10.4,10.31
 96-106,0,0.74,0,36.73,8.38,0,637.96,0.87,1,0.99,350.02,0.86,3.25,6.89,2.46,1.41,0,1.85,0,180.88,1.52,7.81,9.37,938.47,0,5.8,16.7,0,10.01,14.53,0,0,5.11,0,0,73.36,4.97,10.18,27.68,7.46,0.69
108-118,0,0,0,30.52,1.24,0,561.29,0,5.72,4.2,391.33,4.2,4.55,2.62,4.3,13.19,0,1.3,2.28,157.43,1.56,0,6.13,1271.66,3.1,1.43,23.19,0,9.32,5.55,0,0,0.86,0.6,0,47.75,2.06,9.71,18.52,18.13,4.36
120,0,0,0,8.02,0,0,610.03,0,0,6.63,543.01,4.61,0,6.72,0,8.35,0,1.34,0,116.07,0,2.33,8.3,1557.21,0,3.6,22,0,23.71,4.21,0,0,1.75,0,0,109.11,1.37,6.32,26.04,15.35,0
